,isAssertionRoulette,isEagerTest,isLazyTest,isMysteryGuest,isSensitiveEquality,isResourceOptimism,isForTestersOnly,isIndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WMC_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,BUSWEIMER_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WMC_test,NOA_test,NOPA_test,NOP_test,McCABE_test,BUSWEIMER_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability,No. Methods,Vocabulary,Word,Special,Non Whithe Characters,No. Method Invoctions,AST size,Max Depth,Avg Depth,Deg2,DegPerm,Dexterity,No. Expressions,No. Try,No. Catch,No. Loop,No. Break,No. Continue,No. Conditions,No. Else,Bad API,Junit,Hamcrest,Mockito,No. Methods_prod,Vocabulary_prod,Word_prod,Special_prod,Non Whithe Characters_prod,No. Method Invoctions_prod,AST size_prod,Max Depth_prod,Avg Depth_prod,Deg2_prod,DegPerm_prod,Dexterity_prod,No. Expressions_prod,No. Try_prod,No. Catch_prod,No. Loop_prod,No. Break_prod,No. Continue_prod,No. Conditions_prod,No. Else_prod,Strings,Strings_prod,Numeric Literals,Numeric Literals_prod,Comments,Comments_prod,No. Field Access,No. Field Access_prod,No. Primitives,No. Primitives_prod,Avg Depth Squared,Avg Depth Squared_prod,No. &&,No. &&_prod,No. ||,No. ||_prod,No. Ternary,No. Ternary_prod
21,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.737,0.09,-0.113,-0.007,-0.1,-0.0,-0.006,-0.001,0.093,-0.048,-0.068,-0.09,-0.0,-0.004,-0.0,-0.006,-0.007,-0.0,-0.013,-0.006,-0.004,-0.005,-0.061,-0.0,-0.101,0.022,0.018,0.003,0.017,-0.036,0.001,0.001,-0.019,0.012,-0.037,-0.018,-0.0,0.001,0.0,-0.0,-0.012,0.0,0.0,0.001,-0.0,0.0,0.006,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.01,0.051,0.181,0.047,-0.01,0.064,0.043,0.005,0.0,0.0,-0.0,0.013,-0.118,0.002,0.001,-0.002,-0.0,0.0,0.001,0.0,-0.022,-0.0,0.0,-0.0,0.023,0.096,0.149,0.262,0.006,0.04,-0.3,0.006,-0.057,-0.006,-0.0,0.017,0.093,0.002,0.001,0.002,0.001,-0.002,-0.025,-0.005,-0.012,-0.113,-0.293,0.018,0.041,-0.04,-0.002,-0.065,-0.009,-0.039,0.003,-0.111,0.0,0.007,0.0,-0.006,-0.0,0.007
22,-0.001,0.001,0.0,0.0,0.0,0.0,0.0,-0.0,-0.154,0.018,0.065,-0.008,0.053,0.003,-0.0,0.001,-0.096,0.109,0.024,0.053,0.0,0.006,-0.001,0.005,0.006,0.001,0.012,0.0,-0.003,0.005,0.044,0.0,-0.511,0.092,-0.213,-0.012,-0.177,-0.155,0.004,0.003,0.176,-0.144,0.376,0.351,-0.0,-0.017,0.0,0.005,-0.024,-0.001,-0.036,0.004,0.0,0.002,-0.064,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.032,-0.055,-0.069,-0.244,-0.01,-0.068,0.098,-0.009,0.0,-0.0,-0.0,-0.002,0.258,-0.006,-0.001,0.004,0.0,-0.0,0.0,0.001,-0.013,0.0,0.0,0.0,-0.007,-0.026,-0.074,0.099,0.016,0.017,0.022,0.001,-0.028,-0.002,-0.0,-0.004,-0.168,0.001,0.001,0.002,0.001,0.002,0.001,0.003,0.085,-0.058,0.193,-0.015,-0.008,-0.025,0.001,-0.039,0.017,-0.032,-0.004,-0.056,0.0,0.004,-0.0,0.001,0.0,0.001
23,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.211,0.03,-0.112,-0.005,-0.1,0.0,-0.003,0.0,0.09,-0.067,-0.049,-0.071,-0.0,-0.003,0.0,-0.002,-0.003,-0.001,-0.013,-0.003,-0.004,-0.003,-0.059,-0.0,0.379,-0.111,0.207,-0.001,0.179,0.019,-0.001,-0.001,0.01,-0.021,0.062,0.12,0.0,0.009,0.0,0.002,0.03,0.001,0.029,-0.001,-0.001,-0.001,0.084,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.008,-0.037,-0.363,-0.125,0.009,-0.17,0.108,0.007,0.0,-0.001,-0.0,-0.001,0.088,0.002,-0.001,0.008,-0.0,-0.0,0.0,-0.001,-0.015,0.0,-0.0,0.0,0.005,-0.004,0.03,0.103,0.01,-0.003,-0.168,0.007,-0.021,-0.004,0.0,0.008,0.086,0.0,0.0,-0.006,0.002,-0.001,-0.022,0.002,0.037,-0.047,0.625,0.038,0.063,-0.027,0.0,-0.018,0.035,-0.0,0.008,-0.041,-0.001,0.003,-0.0,0.006,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.152,-0.012,0.204,0.017,0.165,0.002,0.003,0.004,-0.031,0.031,-0.033,0.007,0.0,0.005,-0.0,0.002,0.005,-0.0,0.039,0.003,0.002,0.002,0.072,-0.0,-0.066,0.002,-0.031,0.006,-0.02,-0.036,0.001,0.001,0.026,-0.017,0.043,0.046,-0.001,-0.001,-0.0,-0.0,-0.006,-0.0,-0.011,0.001,0.0,0.001,-0.026,-0.0,-0.0,-0.0,-0.0,0.001,0.0,0.001,-0.0,0.001,-0.0,-0.0,-0.009,0.022,0.105,-0.082,0.006,0.071,-0.126,-0.004,-0.0,-0.0,0.0,-0.011,0.14,-0.002,-0.001,-0.007,0.0,-0.0,-0.003,-0.0,0.017,-0.0,0.0,-0.0,0.025,0.087,0.645,-0.122,-0.052,0.201,-0.314,-0.008,0.037,0.001,0.0,-0.003,0.437,-0.003,-0.004,-0.003,0.001,-0.012,-0.076,-0.01,0.019,0.104,0.112,-0.06,0.003,0.048,-0.001,0.03,-0.061,-0.045,-0.003,0.087,-0.0,-0.031,-0.0,-0.034,-0.0,-0.003
25,0.0,0.001,0.0,0.0,0.0,0.0,-0.0,0.0,-0.218,0.019,0.26,0.007,0.234,0.004,-0.011,-0.002,-0.221,0.222,0.073,0.139,0.0,0.007,0.0,0.006,0.009,0.001,0.026,-0.011,-0.008,0.002,0.079,-0.0,0.211,-0.042,0.193,0.002,0.175,0.075,0.001,0.001,-0.039,0.041,-0.097,-0.07,0.001,0.017,0.0,-0.0,0.03,0.001,0.019,0.001,0.001,0.0,0.007,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.001,0.0,0.0,0.009,0.02,0.116,-0.085,-0.009,0.14,-0.149,-0.002,-0.0,0.0,0.0,-0.007,0.206,-0.011,-0.009,0.0,0.0,-0.0,-0.005,-0.002,-0.005,0.0,0.0,0.0,0.025,0.128,0.141,0.139,-0.021,0.25,0.24,-0.003,-0.012,0.003,0.0,0.005,-0.448,0.007,0.007,0.006,0.005,-0.0,0.029,0.0,0.033,-0.026,0.054,-0.245,0.034,0.015,-0.001,-0.035,-0.008,-0.067,-0.002,-0.057,-0.0,-0.001,0.0,-0.029,0.0,-0.001
26,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.021,-0.003,-0.173,-0.006,-0.157,-0.0,0.007,0.003,0.164,-0.163,-0.053,-0.11,-0.001,-0.007,-0.0,-0.004,-0.008,-0.001,-0.016,0.008,0.005,0.004,-0.068,0.0,0.048,0.011,0.034,0.003,0.052,0.064,0.006,0.004,0.018,-0.006,0.028,-0.016,0.0,-0.003,0.0,0.002,0.017,0.0,-0.018,0.006,-0.0,0.003,-0.059,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.025,-0.004,0.263,-0.119,-0.025,0.41,-0.399,-0.007,0.0,0.0,-0.0,-0.013,0.576,-0.013,-0.01,-0.014,-0.0,-0.0,-0.002,0.0,0.014,-0.0,0.001,-0.0,-0.0,0.01,-0.268,-0.008,0.022,-0.051,-0.041,-0.004,-0.004,-0.002,0.0,-0.012,0.101,-0.006,-0.006,-0.011,-0.005,-0.001,-0.006,0.009,0.047,-0.015,0.052,0.06,0.031,-0.02,0.002,0.066,-0.088,0.034,-0.006,-0.011,0.001,0.011,-0.0,0.015,0.0,0.004
27,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.1,0.018,-0.074,-0.014,-0.096,-0.001,0.006,0.003,-0.509,0.528,0.22,0.225,0.001,0.006,0.0,0.017,0.018,0.0,0.023,0.007,-0.002,0.002,0.022,-0.0,0.116,-0.032,0.009,-0.009,0.008,-0.006,-0.001,-0.001,-0.007,0.012,-0.04,-0.066,-0.0,-0.002,-0.0,-0.001,0.019,-0.0,0.001,-0.001,0.002,-0.002,-0.002,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.001,0.0,-0.0,-0.002,-0.027,0.131,-0.038,-0.005,-0.089,-0.052,0.001,0.001,0.0,0.0,-0.011,0.075,-0.001,-0.003,0.024,0.0,0.0,0.001,-0.0,-0.02,-0.0,0.0,0.0,0.001,-0.115,-0.202,-0.044,0.016,-0.134,-0.149,0.007,-0.008,-0.004,0.0,-0.001,0.308,-0.003,-0.003,-0.011,-0.004,0.001,-0.053,0.001,0.02,-0.003,-0.003,0.271,0.031,-0.016,-0.0,-0.054,0.031,0.023,0.003,0.053,-0.0,0.001,-0.0,0.037,0.001,0.002
28,-0.0,0.001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.001,0.013,-0.0,-0.238,0.008,-0.22,0.005,0.005,0.004,-0.044,0.057,0.073,-0.044,-0.0,-0.005,-0.001,-0.001,-0.009,-0.0,-0.018,0.006,0.01,-0.006,-0.079,0.0,0.479,-0.036,-0.416,-0.009,-0.375,-0.245,0.002,-0.001,0.006,-0.003,0.008,0.046,-0.001,-0.004,0.0,-0.0,-0.049,-0.002,-0.042,0.002,0.001,-0.0,-0.086,0.0,0.0,-0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.043,-0.173,-0.036,-0.044,0.0,-0.141,-0.039,-0.019,-0.0,0.0,-0.0,-0.017,0.165,0.008,0.004,-0.007,-0.0,-0.0,0.0,0.003,0.033,0.0,-0.0,-0.0,-0.002,0.087,0.251,0.033,-0.008,-0.057,0.044,0.01,-0.006,-0.001,0.0,0.013,-0.15,0.002,0.002,0.006,0.0,0.002,0.035,0.0,-0.002,0.003,-0.165,-0.194,-0.017,0.003,0.002,0.051,-0.049,-0.01,-0.011,-0.017,-0.0,-0.005,-0.0,-0.024,-0.0,-0.004
29,-0.0,0.001,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.151,-0.003,0.456,0.006,0.395,0.014,-0.006,0.002,0.149,-0.155,-0.128,-0.003,-0.0,0.009,-0.001,-0.004,0.005,0.002,0.061,-0.007,-0.011,0.011,0.228,0.0,0.35,-0.041,-0.209,-0.008,-0.187,-0.109,0.0,-0.001,0.03,-0.026,0.06,-0.039,-0.001,-0.017,-0.0,-0.001,-0.022,-0.001,-0.022,0.0,-0.001,-0.0,-0.048,0.0,-0.0,0.001,-0.0,0.0,0.0,0.0,-0.0,0.002,0.0,0.0,-0.027,-0.077,0.041,-0.013,-0.012,-0.115,0.04,-0.017,-0.0,0.0,-0.0,-0.014,0.053,0.008,0.005,0.0,0.001,0.0,0.0,0.002,0.012,-0.0,-0.0,-0.0,-0.02,0.002,-0.377,0.014,0.012,0.112,-0.06,-0.026,-0.002,-0.0,0.0,-0.024,0.179,-0.003,-0.003,-0.01,-0.007,-0.003,-0.021,-0.005,0.009,-0.017,-0.081,0.194,0.009,-0.009,0.004,0.01,-0.004,-0.062,-0.015,0.018,-0.0,-0.012,-0.0,0.012,-0.0,-0.001
30,0.001,0.001,0.0,0.0,0.001,0.0,-0.0,-0.001,-0.068,0.006,-0.015,0.027,-0.038,-0.008,0.013,0.008,-0.035,0.042,0.052,-0.025,0.001,-0.003,0.0,0.004,0.001,-0.002,0.023,0.013,-0.002,0.014,0.062,-0.0,0.013,-0.004,-0.147,0.012,-0.138,0.808,-0.003,-0.001,0.122,-0.096,0.251,-0.248,-0.001,-0.014,0.0,-0.0,0.014,-0.003,-0.008,-0.003,0.0,-0.001,-0.015,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.023,-0.06,-0.248,-0.028,-0.002,0.019,0.093,-0.005,-0.002,0.0,-0.0,-0.011,0.076,0.002,0.003,-0.027,-0.0,-0.0,-0.008,-0.001,0.048,0.001,-0.001,0.0,0.005,0.124,0.012,0.004,-0.005,0.042,-0.024,-0.001,-0.006,-0.001,-0.0,0.008,0.057,0.002,0.003,-0.004,-0.012,-0.001,0.007,-0.003,0.003,0.005,-0.119,-0.071,-0.0,0.004,0.002,0.112,-0.007,0.012,-0.007,0.015,-0.0,-0.002,-0.001,-0.008,-0.001,-0.002
