0.812,0.799,0.840,0.817,0.813,0.188
0.802,0.782,0.834,0.806,0.802,0.198
0.804,0.796,0.813,0.803,0.804,0.196
0.821,0.812,0.834,0.822,0.821,0.179
0.804,0.794,0.820,0.805,0.804,0.196
0.803,0.790,0.827,0.806,0.804,0.197
0.808,0.794,0.834,0.812,0.808,0.192
0.809,0.796,0.834,0.813,0.810,0.191
0.803,0.781,0.839,0.808,0.803,0.197
0.814,0.801,0.836,0.816,0.814,0.186
