project,module,commit,path_test,test_name,path_src,class_name
empire-db,empire-db-codegen,b88d326871012a62abec0fcfa14358946570903a,/home/dorma10/lightweight-effectiveness/projects/empire-db/empire-db-codegen/src/test/java/org/apache/empire/db/codegen/CodeGenParserTest.java,org.apache.empire.db.codegen.CodeGenParserTest,/home/dorma10/lightweight-effectiveness/projects/empire-db/empire-db-codegen/src/main/java/org/apache/empire/db/codegen/CodeGenParser.java,org.apache.empire.db.codegen.CodeGenParser
empire-db,empire-db-codegen,b88d326871012a62abec0fcfa14358946570903a,/home/dorma10/lightweight-effectiveness/projects/empire-db/empire-db-codegen/src/test/java/org/apache/empire/db/codegen/WriterServiceTest.java,org.apache.empire.db.codegen.WriterServiceTest,/home/dorma10/lightweight-effectiveness/projects/empire-db/empire-db-codegen/src/main/java/org/apache/empire/db/codegen/WriterService.java,org.apache.empire.db.codegen.WriterService
empire-db,empire-db-codegen,b88d326871012a62abec0fcfa14358946570903a,/home/dorma10/lightweight-effectiveness/projects/empire-db/empire-db-codegen/src/test/java/org/apache/empire/db/codegen/util/DBUtilTest.java,org.apache.empire.db.codegen.util.DBUtilTest,/home/dorma10/lightweight-effectiveness/projects/empire-db/empire-db-codegen/src/main/java/org/apache/empire/db/codegen/util/DBUtil.java,org.apache.empire.db.codegen.util.DBUtil
empire-db,empire-db-codegen,b88d326871012a62abec0fcfa14358946570903a,/home/dorma10/lightweight-effectiveness/projects/empire-db/empire-db-codegen/src/test/java/org/apache/empire/db/codegen/util/FileUtilsTest.java,org.apache.empire.db.codegen.util.FileUtilsTest,/home/dorma10/lightweight-effectiveness/projects/empire-db/empire-db-codegen/src/main/java/org/apache/empire/db/codegen/util/FileUtils.java,org.apache.empire.db.codegen.util.FileUtils
