0.88,0.701339602,,,0.88,0.70
0.68,0.681166053,,,0.68,0.68
0.28,0.556095839,,,0.28,0.56
0.8,0.734760523,,,0.8,0.73
0.63,0.77153933,,,0.63,0.77
0.53,0.600234866,,,0.53,0.60
0.6,0.6574651,,,0.6,0.66
0.98,0.867865205,,,0.98,0.87
0.89,0.964241266,,,0.89,0.96
0.91,0.854723454,,,0.91,0.85
0.89,0.801479816,,,0.89,0.80
0.85,0.830081701,,,0.85,0.83
0.5,0.517904162,,,0.5,0.52
1,0.777191997,,,1,0.78
0.86,0.902299404,,,0.86,0.90
0.8,0.802259564,,,0.8,0.80
0.99,0.729821086,,,0.99,0.73
0.79,0.71952951,,,0.79,0.72
1,1.015722394,,,1,1.00
0.59,0.398116916,,,0.59,0.40
0.5,0.493742555,,,0.5,0.49
0.53,0.58870697,,,0.53,0.59
0.67,0.372272313,,,0.67,0.37
1,0.80832696,,,1,0.81
0.05,0.127618268,,,0.05,0.13
0.33,0.325144917,,,0.33,0.33
1,1.005384207,,,1,1.00
0.5,0.661260962,,,0.5,0.66
0.92,0.57418853,,,0.92,0.57
0.32,0.48485586,,,0.32,0.48
0.88,0.666188002,,,0.88,0.67
0.86,0.719803452,,,0.86,0.72
0.05,0.075573012,,,0.05,0.08
0.75,0.543627024,,,0.75,0.54
0.62,0.770811677,,,0.62,0.77
0.59,0.554502428,,,0.59,0.55
0.58,0.359597325,,,0.58,0.36
0.29,0.323495954,,,0.29,0.32
0,0.20701544,,,0,0.21
0.44,0.578645825,,,0.44,0.58
0.65,0.702819705,,,0.65,0.70
0.8,0.922972918,,,0.8,0.92
0.49,0.711134315,,,0.49,0.71
1,1.00720644,,,1,1.00
1,0.782351613,,,1,0.78
0.03,0.109358907,,,0.03,0.11
0.1,0.113954723,,,0.1,0.11
1,0.970040441,,,1,0.97
0.77,0.595350385,,,0.77,0.60
0.69,0.427699625,,,0.69,0.43
0.95,0.812171102,,,0.95,0.81
0.51,0.462794721,,,0.51,0.46
0.7,0.408329815,,,0.7,0.41
0.98,0.732596517,,,0.98,0.73
0.89,0.553910494,,,0.89,0.55
0.77,0.737968206,,,0.77,0.74
0.22,0.204585195,,,0.22,0.20
0.97,0.754035354,,,0.97,0.75
0.74,0.712218404,,,0.74,0.71
0.85,0.823149681,,,0.85,0.82
0.93,0.873785615,,,0.93,0.87
1,1.035761714,,,1,1.00
0.76,0.903929353,,,0.76,0.90
0.49,0.526099622,,,0.49,0.53
0.81,0.523422003,,,0.81,0.52
0.7,0.579118133,,,0.7,0.58
0.83,0.850651264,,,0.83,0.85
0.72,0.410203338,,,0.72,0.41
0.49,0.568202257,,,0.49,0.57
0.81,0.779555678,,,0.81,0.78
0.76,0.615067899,,,0.76,0.62
0.17,0.743088007,,,0.17,0.74
0.75,0.229234487,,,0.75,0.23
0.22,0.21477437,,,0.22,0.21
0.58,0.470233828,,,0.58,0.47
0.15,0.3026205,,,0.15,0.30
0.45,0.428918839,,,0.45,0.43
0.84,0.791995049,,,0.84,0.79
0.86,0.871713877,,,0.86,0.87
1,0.884732723,,,1,0.88
0.48,0.520882368,,,0.48,0.52
0.83,0.840988398,,,0.83,0.84
0.66,0.704936624,,,0.66,0.70
0.76,0.906029463,,,0.76,0.91
0.19,0.415556192,,,0.19,0.42
0.6,0.887470365,,,0.6,0.89
0.37,0.377561301,,,0.37,0.38
0.92,0.788782716,,,0.92,0.79
0.7,0.705106378,,,0.7,0.71
0.55,0.530316114,,,0.55,0.53
0.52,0.461482495,,,0.52,0.46
0.48,0.384006262,,,0.48,0.38
0.46,0.332980633,,,0.46,0.33
0.86,0.533860087,,,0.86,0.53
0.77,0.359091759,,,0.77,0.36
0.01,0.029358804,,,0.01,0.03
0.52,0.837382078,,,0.52,0.84
1,1.036559343,,,1,1.00
0.39,0.39319557,,,0.39,0.39
0.45,0.731075168,,,0.45,0.73
0.71,0.635031939,,,0.71,0.64
0.69,0.513785601,,,0.69,0.51
0.94,0.877862215,,,0.94,0.88
0.86,0.741398931,,,0.86,0.74
1,0.860824227,,,1,0.86
0.84,0.80542779,,,0.84,0.81
0.23,0.237398192,,,0.23,0.24
0.64,0.678081274,,,0.64,0.68
0.78,0.781670928,,,0.78,0.78
0.74,0.665918708,,,0.74,0.67
1,1.020916343,,,1,1.00
0.42,0.328667939,,,0.42,0.33
0.78,1.066648364,,,0.78,1.00
0.49,0.279237211,,,0.49,0.28
0.42,0.653782427,,,0.42,0.65
0.63,1.080367804,,,0.63,1.00
0.38,0.320410371,,,0.38,0.32
0.53,0.867349029,,,0.53,0.87
0.5,0.500173688,,,0.5,0.50
0.78,0.850757718,,,0.78,0.85
1,0.751435757,,,1,0.75
0.09,0.108732671,,,0.09,0.11
0.15,0.325756729,,,0.15,0.33
0.67,0.866037011,,,0.67,0.87
0.66,0.489993811,,,0.66,0.49
0.23,0.307355702,,,0.23,0.31
0.8,0.825530052,,,0.8,0.83
0.11,0.423255146,,,0.11,0.42
0.93,0.720529199,,,0.93,0.72
0.52,0.499271065,,,0.52,0.50
0.88,0.855240822,,,0.88,0.86
0.55,0.781535149,,,0.55,0.78
1,0.988006949,,,1,0.99
0.54,0.531223059,,,0.54,0.53
0.47,0.180834591,,,0.47,0.18
0.22,0.518522143,,,0.22,0.52
0.62,0.621574163,,,0.62,0.62
0.51,0.430758178,,,0.51,0.43
0.66,0.421267122,,,0.66,0.42
0.45,0.548478365,,,0.45,0.55
0.87,0.77626884,,,0.87,0.78
0.86,0.886884928,,,0.86,0.89
0.04,0.183082238,,,0.04,0.18
0.57,0.757966042,,,0.57,0.76
0.22,0.227029368,,,0.22,0.23
0.73,0.729688287,,,0.73,0.73
1,0.971155286,,,1,0.97
0.62,0.488691896,,,0.62,0.49
0.66,0.861838698,,,0.66,0.86
0.75,0.662733078,,,0.75,0.66
0.44,0.390295088,,,0.44,0.39
0.73,0.7493819,,,0.73,0.75
0.41,0.416745663,,,0.41,0.42
0.05,0.505618453,,,0.05,0.51
0.67,0.652072549,,,0.67,0.65
0.53,0.551000953,,,0.53,0.55
0.96,1.081953168,,,0.96,1.00
0.3,0.546431899,,,0.3,0.55
1,1.142542243,,,1,1.00
0.07,0.612523675,,,0.07,0.61
0.5,0.630296469,,,0.5,0.63
0.54,0.567351222,,,0.54,0.57
0.79,0.382868201,,,0.79,0.38
0.29,0.457640052,,,0.29,0.46
0.04,0.454046547,,,0.04,0.45
0.8,0.783328295,,,0.8,0.78
0.7,0.470463932,,,0.7,0.47
0.94,0.620065093,,,0.94,0.62
0.53,0.511552691,,,0.53,0.51
1,0.978616595,,,1,0.98
0.19,0.205169871,,,0.19,0.21
0.61,0.634227395,,,0.61,0.63
0.47,0.553651035,,,0.47,0.55
0.78,0.873321414,,,0.78,0.87
1,0.977900267,,,1,0.98
0.48,0.859485269,,,0.48,0.86
0.95,0.923681855,,,0.95,0.92
0.48,0.314813733,,,0.48,0.31
0.83,0.842130542,,,0.83,0.84
0.81,0.654808164,,,0.81,0.65
0.33,0.22970055,,,0.33,0.23
0.76,0.307329386,,,0.76,0.31
0.78,0.742091179,,,0.78,0.74
0.71,0.746198058,,,0.71,0.75
0.1,0.09438204,,,0.1,0.09
0.19,0.419061691,,,0.19,0.42
0.97,0.906228065,,,0.97,0.91
0.53,0.575717986,,,0.53,0.58
0.67,0.284174204,,,0.67,0.28
0.01,-0.008049443,,,0.01,0.00
0.71,0.837533951,,,0.71,0.84
1,0.855463147,,,1,0.86
0.92,0.866177201,,,0.92,0.87
0.83,0.79676795,,,0.83,0.80
0.61,0.569207489,,,0.61,0.57
0.39,0.735678434,,,0.39,0.74
0.29,0.32834217,,,0.29,0.33
1,0.997546434,,,1,1.00
0.86,0.915822268,,,0.86,0.92
0.19,0.199957967,,,0.19,0.20
0.6,0.624345541,,,0.6,0.62
0.1,0.486068159,,,0.1,0.49
0.54,0.58561945,,,0.54,0.59
0.86,0.766242385,,,0.86,0.77
0.05,0.486834556,,,0.05,0.49
0.29,0.277515411,,,0.29,0.28
0.81,0.647948861,,,0.81,0.65
0.64,0.488353163,,,0.64,0.49
0.8,0.795912862,,,0.8,0.80
0.31,0.673958063,,,0.31,0.67
1,1.030916095,,,1,1.00
0.85,0.814551234,,,0.85,0.81
