Nº,Project,TestClassName,No. Methods,Vocabulary,Word,Strings,Numeric Literals,Comments,Special,Non Whithe Characters,No. Method Invoctions,No. Field Access,No. Primitives,AST size,Max Depth,Avg Depth,Avg Depth Squared,Avg Depth Triple,Deg2,Deg3,DegPerm,Dexterity,No. Expressions,No. Try,No. Catch,No. Loop,No. Break,No. Continue,No. Conditions,No. Else,No. &&,No. ||,No. Ternary,Bad API,Junit,Hamcrest,Mockito
988,RxJava,ParallelMapTryConditionalSubscriber,8,44,139,63,2,0,253,1698,22,5,10,218,16,3.9311926605504586,16.610091743119266,123.84862385321101,1434,13202,-170074574,34,203,2,2,1,0,1,5,0,1,0,0,0,0,0,0
989,RxJava,SingleDoOnSuccess,6,25,74,0,0,0,107,818,7,3,4,71,10,5.957746478873239,20.6056338028169,100.85915492957747,609,3119,3672397,23,95,1,1,0,0,0,0,0,0,0,0,0,0,0,0
990,RxJava,ObservableJoin,14,108,531,179,11,0,920,5825,81,14,23,859,20,3.450523864959255,13.20372526193248,92.9895227008149,5483,88229,2091380467,41,741,4,4,4,2,0,15,5,1,0,2,0,1,0,0
991,RxJava,ObservableSwitchMapSingleTest,56,109,1004,56,65,0,1862,11046,245,0,41,2359,22,2.7901653242899536,15.690546841882153,150.42221280203475,7963,53835,-1867226751,32,1473,4,0,4,0,0,10,1,0,1,0,0,1,0,0
992,RxJava,BehaviorProcessorAsPublisherTckTest,3,28,48,0,5,0,113,648,11,0,4,109,18,3.5137614678899083,24.28440366972477,285.4036697247706,343,1149,1805,28,77,1,1,3,0,0,2,0,0,0,0,0,0,0,0
993,RxJava,GroupedObservable,2,13,31,0,0,913,130,1078,0,1,0,10,7,9.1,26.1,106.9,205,1433,3629698,24,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
994,RxJava,FlowableTakeUntilTest,24,87,853,1047,45,73,1687,10364,329,2,22,1783,13,2.259113853056646,7.058889512058329,31.19573752103197,7415,65101,2050576801,28,1353,0,0,0,0,0,0,0,0,0,0,0,1,0,0
995,RxJava,ReplayProcessorTest,115,251,2813,556,365,0,5280,31286,935,4,127,6148,17,2.317501626545218,8.362068965517242,48.459336369551075,31241,895795,-1152420158,43,4560,4,4,15,0,0,3,1,0,0,0,0,1,0,0
996,RxJava,ObservableSubscribeOnTest,18,92,312,50,27,0,553,3702,70,4,17,593,18,3.166947723440135,16.404721753794266,150.0505902192243,2574,13982,563244574,38,475,2,2,1,0,0,0,0,0,0,1,0,1,0,0
997,RxJava,FlowableFlatMapSinglePerf,7,48,125,42,5,0,206,1413,12,0,2,187,14,3.8823529411764706,17.02673796791444,119.48663101604278,1069,7487,2004212825,30,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
998,RxJava,MergeObserver,16,114,597,81,39,0,1401,6420,84,13,45,1400,22,3.055,14.536428571428571,122.44642857142857,6167,96837,2005441517,48,966,3,3,10,8,3,66,8,9,3,0,0,0,0,0
999,RxJava,SubscriberOnNext,2,10,21,0,0,0,27,224,1,1,1,13,7,8.461538461538462,25.53846153846154,104.46153846153847,183,1007,45434,18,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,RxJava,ObserveOnObserver,16,69,296,11,8,0,609,3282,49,6,32,599,14,3.055091819699499,11.789649415692821,73.35225375626044,3292,50400,63026,38,462,1,1,3,3,0,29,5,1,0,0,0,0,0,0
1001,RxJava,RefCountSubscriber,7,30,87,0,1,0,143,1066,14,4,8,105,9,4.542857142857143,14.638095238095238,66.6,942,9020,109645444,23,128,0,0,0,0,0,4,1,0,0,0,0,0,0,0
1002,RxJava,ObservableLastMaybe,9,30,98,0,0,154,160,1232,7,4,7,118,10,4.686440677966102,16.21186440677966,79.6864406779661,935,7147,2007821609,29,140,0,0,0,0,0,2,1,0,0,0,0,0,0,0
1003,RxJava,MaybeDelaySubscriptionTest,11,65,175,5,21,0,338,2102,58,0,10,362,16,2.9060773480662982,14.613259668508288,117.1878453038674,1296,5842,39934832,23,283,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1004,RxJava,BlockingFirstObserverTest,1,22,49,0,8,0,93,493,20,0,1,105,9,2.3047619047619046,7.6380952380952385,35.67619047619048,421,3347,1278945587,16,84,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1005,RxJava,ObservableDoOnUnsubscribeTest,8,47,217,226,12,0,408,2718,46,0,14,526,17,2.482889733840304,11.475285171102662,91.63878326996198,1760,12136,-286584462,23,323,0,0,4,0,0,0,0,0,0,0,0,1,0,0
1006,RxJava,CompletableTakeUntilTest,14,54,327,0,2,0,603,3785,124,0,14,668,18,2.784431137724551,15.161676646706587,146.11976047904193,2190,11218,493885063,19,481,4,0,0,0,0,0,0,0,0,0,0,1,0,0
1007,RxJava,ObservableFlatMap,24,132,758,92,40,0,1665,8261,97,19,63,1619,23,3.2260654725138975,14.974058060531192,125.33477455219271,7770,110280,-900893532,49,1195,3,3,10,8,3,74,10,9,3,0,0,0,0,0
1008,RxJava,MaybeOnSubscribe,1,7,12,0,0,306,42,403,0,0,1,0,6,0,0,0,68,290,265,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,RxJava,FlowableLimitTest,16,79,259,0,95,0,580,2986,108,0,18,581,18,2.8984509466437176,14.59552495697074,122.92943201376936,2644,17802,-2101719512,29,505,2,0,1,0,0,0,0,0,0,0,0,1,0,0
1010,RxJava,TVSeason,0,2,2,0,0,0,2,33,0,0,0,0,3,0,0,0,10,28,10,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,RxJava,OnErrorReturnMaybeObserver,7,30,82,36,0,0,133,998,11,4,6,100,11,4.65,16.91,91.17,767,5933,2004192068,26,114,1,1,0,0,0,1,0,0,0,0,0,0,0,0
1012,RxJava,CrashingIterator,4,12,26,19,2,0,70,490,0,2,7,47,9,4.76595744680851,18.382978723404257,98.97872340425532,314,1948,39917293,26,48,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1013,RxJava,WithLatestFromOtherObserver,5,19,39,0,0,0,52,400,3,1,4,26,7,7.153846153846154,20,75.6923076923077,352,1884,365348,17,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1014,RxJava,ScalarCallable,1,5,10,0,0,495,43,564,0,0,0,0,4,0,0,0,54,256,742,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,RxJava,FromFutureTckTest,3,17,27,0,2,0,46,328,2,0,2,46,12,3.9347826086956523,18.543478260869566,142.58695652173913,223,957,2377,18,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016,RxJava,IoHolder,0,4,4,0,0,0,6,71,0,0,0,0,6,0,0,0,39,139,61,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,RxJava,TestSingle,3,16,33,0,0,0,53,331,2,0,4,19,7,9.789473684210526,29.57894736842105,118.73684210526316,325,2111,39918477,18,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1018,RxJava,FlowableFlatMapCompletableSyncPerf,3,41,77,62,5,0,154,944,12,0,3,74,10,4.95945945945946,16.87837837837838,86.93243243243244,723,5347,2004317292,29,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1019,RxJava,MaybeTimeoutMaybe,21,44,272,0,3,175,445,3583,33,8,20,316,13,4.708860759493671,16.10759493670886,83.03164556962025,2740,24466,-327728191,33,377,0,0,0,0,0,7,3,0,0,1,0,0,0,0
1020,RxJava,TimeoutOtherMaybeObserver,5,27,47,0,1,0,71,596,6,1,5,38,7,6.2894736842105265,18.236842105263158,71.65789473684211,511,4045,1278947954,20,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,RxJava,StrictSubscriberTest,43,68,508,94,52,0,925,5256,108,3,42,1185,14,2.589873417721519,11.042194092827005,74.12911392405063,4144,19552,1975673502,28,771,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1022,RxJava,SwitchIfEmptyMaybeObserver,11,30,115,0,1,0,180,1410,13,4,10,116,13,5.767241379310345,21.474137931034484,126.69827586206897,1194,10000,-858510928,27,158,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1023,RxJava,ObservableRangeTest,17,83,242,70,48,0,495,2820,85,0,18,531,14,2.610169491525424,10.47080979284369,64.96045197740114,2027,10399,1282629689,30,424,1,1,1,0,0,0,0,0,0,0,0,1,0,0
1024,RxJava,LeftRightSubscriber,7,30,55,0,1,0,83,738,7,2,9,55,7,5.127272727272727,14.690909090909091,57.163636363636364,664,5804,2004192172,20,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1025,RxJava,OperatorsAreFinal,7,44,115,209,3,0,314,1407,35,0,6,244,18,3.0040983606557377,15.299180327868852,145.77459016393442,893,3707,368674,31,207,0,0,1,0,0,7,0,2,0,0,0,0,0,0
1026,RxJava,FlowableInterval,7,52,127,40,3,0,198,1592,16,5,13,174,13,3.9597701149425286,14.557471264367816,86.30459770114942,1160,7720,2044235789,28,179,0,0,0,0,0,4,2,0,0,0,0,0,0,0
1027,RxJava,MaybeErrorTest,2,13,15,0,0,0,32,218,3,0,1,33,15,4.787878787878788,39.515151515151516,440.24242424242425,115,461,898,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1028,RxJava,SingleZipIterable,3,44,122,63,7,0,237,1326,11,2,3,223,16,3.798206278026906,18.46188340807175,143.97757847533632,917,4109,39963662,41,181,1,1,2,0,0,5,0,0,0,0,0,0,0,0
1029,RxJava,OtherSingleObserver,4,18,43,0,0,0,57,481,3,2,3,32,7,6.90625,20.21875,77.59375,386,2364,39919146,19,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,RxJava,CompletableCache,10,43,185,0,16,105,372,2341,24,4,13,353,13,3.3257790368271953,13.405099150141643,83.22946175637394,1823,14069,-2101383256,39,286,0,0,5,2,0,14,3,0,0,0,0,0,0,0
1031,RxJava,OnSuccess,2,8,14,0,0,0,19,148,1,1,1,13,7,5.923076923076923,19.307692307692307,86.23076923076923,116,492,911,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1032,RxJava,ObservableFromIterableTest,38,104,440,111,69,72,951,5243,124,0,34,1096,20,2.7554744525547443,15.728102189781023,160.02554744525548,3818,19134,2008285648,40,741,2,2,1,0,0,3,0,0,0,0,0,1,0,0
1033,RxJava,SampleTimedObserver,10,37,104,0,1,0,166,1228,15,6,12,123,9,4.544715447154472,13.682926829268293,57.22764227642276,1311,18187,2076185022,27,150,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1034,RxJava,ObservableSwitchMapSingle,17,71,334,78,5,315,671,4492,45,12,25,532,16,3.906015037593985,15.357142857142858,97.50375939849624,3387,37071,1969861925,40,489,1,1,3,4,0,19,2,2,1,0,0,0,0,0
1035,RxJava,FallbackObserver,5,18,47,0,0,0,66,505,4,2,4,37,7,6.5675675675675675,19.216216216216218,73.54054054054055,441,2897,479004077,19,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1036,RxJava,FlowableDebounceTest,53,149,1041,61,103,0,1879,12124,281,0,44,2240,21,2.7598214285714286,14.269642857142857,127.54107142857143,8969,85433,161418937,31,1596,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1037,RxJava,TimestampTckTest,1,12,15,0,1,0,26,185,2,0,2,11,8,7.909090909090909,28.09090909090909,142.63636363636363,115,471,908,14,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1038,RxJava,ObservableAnySingle,10,42,132,0,0,0,221,1505,15,6,9,170,10,4.617647058823529,16.08823529411765,78.7,1246,9408,190483420,27,185,1,1,0,0,0,5,0,0,0,0,0,0,0,0
1039,RxJava,OnBackpressureBufferStrategySubscriber,9,69,241,0,7,0,478,2617,41,8,23,490,14,3.0142857142857142,11.548979591836735,70.01836734693877,2491,28043,-1530863789,38,358,1,1,2,5,0,22,3,0,0,0,0,0,0,0
1040,RxJava,ObservableScanTest,44,115,724,16,84,61,1273,7497,180,0,24,1705,19,2.6832844574780057,14.56715542521994,134.09560117302053,5964,34054,1631588987,28,1093,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1041,RxJava,Iterator,3,20,39,18,0,93,88,611,6,0,2,63,11,3.888888888888889,16.46031746031746,102.36507936507937,288,1138,5586,27,60,1,0,0,0,0,3,0,0,0,0,0,0,0,0
1042,RxJava,FlowableMergeWithSingle,18,89,403,0,23,231,815,4868,61,10,39,773,16,3.1164294954721865,11.364812419146183,68.44890038809832,4352,64054,-1880258450,40,630,0,0,2,2,1,26,8,2,2,1,0,0,0,0
1043,RxJava,IntervalRangeSubscriber,5,39,86,40,3,0,162,1097,13,3,12,133,14,3.917293233082707,16.398496240601503,115.84210526315789,808,5930,2004191001,27,131,0,0,0,0,0,6,1,0,0,0,0,0,0,0
1044,RxJava,XMapYPerf,61,90,895,42,5,0,1315,10624,107,0,30,1586,15,3.3757881462799495,15.3203026481715,104.46027742749054,11321,358227,189667,29,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1045,RxJava,FlowableElementAt,8,40,132,0,2,0,220,1584,12,8,18,186,15,4.28494623655914,17.241935483870968,120.60752688172043,1377,11487,149568266,31,192,0,0,0,0,0,7,2,0,0,0,0,0,0,0
1046,RxJava,ResourceCompletableObserver,5,32,68,16,0,2438,388,3145,9,1,5,47,8,5.468085106382978,17.51063829787234,80.02127659574468,595,4377,1932074323,26,93,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1047,RxJava,TestingDeferredScalarSubscriber,5,21,30,0,1,0,52,480,3,0,6,30,8,6.366666666666666,20.7,92.56666666666666,324,1854,3630016,21,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1048,RxJava,MaybeObserveOn,10,38,120,0,1,106,206,1592,15,5,9,150,11,4.486666666666666,15.286666666666667,77.20666666666666,1317,13069,-1191481547,30,177,0,0,0,0,0,3,2,0,0,0,0,0,0,0
1049,RxJava,SequenceEqualTckTest,2,13,18,0,5,0,34,274,4,0,2,20,8,4.85,15.75,77.45,177,811,1684,13,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050,RxJava,QueueDrainSubscriberPad3,0,4,5,0,0,32,13,135,0,0,0,0,6,0,0,0,33,103,43,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1051,RxJava,QueueDrainSubscriberPad2,0,17,17,0,0,39,24,190,0,0,2,0,4,0,0,0,222,1870,3991838,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1052,RxJava,VolatileSizeArrayListTest,1,46,221,0,93,0,481,2094,102,0,5,551,11,2.027223230490018,6.44464609800363,29.762250453720508,4237,147205,818870,25,443,0,0,4,0,0,0,0,0,0,0,8,1,0,0
1053,RxJava,FlowableOnBackpressureBuffer,15,77,298,14,8,0,572,3413,42,10,37,534,16,3.50749063670412,14.462546816479401,98.4625468164794,3108,36566,1888392126,38,439,1,1,2,2,0,27,7,0,0,0,0,0,0,0
1054,RxJava,SingleElementObserver,7,25,79,37,0,0,149,942,10,3,7,122,10,3.8278688524590163,13.319672131147541,67.4672131147541,814,6798,-288519259,27,119,0,0,0,0,0,6,1,0,0,0,0,0,0,0
1055,RxJava,QueueDrainSubscriberPad0,0,16,16,0,0,39,24,145,0,0,2,0,4,0,0,0,212,1808,3991740,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1056,RxJava,ObservableTakeLastTimedTest,15,78,537,5,106,0,959,5651,188,0,16,1127,15,2.2555456965394853,8.353149955634427,50.88908606921029,5412,59124,-339773635,27,912,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1057,RxJava,DeferredScalarSubscription,10,48,160,0,12,1745,554,3795,26,1,21,289,18,3.7231833910034604,17.121107266435985,147.01730103806227,2027,23299,-1853851333,34,251,0,0,2,0,0,16,0,0,0,0,0,0,0,0
1058,RxJava,DisposeConsumer,2,10,20,0,0,0,27,228,1,1,1,13,7,8.307692307692308,25.23076923076923,103.84615384615384,176,916,41131,18,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1059,RxJava,CountObserver,7,23,62,0,0,0,95,742,6,3,7,72,9,4.736111111111111,15.73611111111111,72.81944444444444,615,4851,2004312764,22,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1060,RxJava,ResourceObserver,5,37,78,16,0,2527,435,3210,9,1,5,47,8,5.595744680851064,17.80851063829787,80.7872340425532,622,4914,1278966099,27,106,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1061,RxJava,ParallelFlowable,47,145,1194,756,7,16366,3197,30088,146,0,27,1196,11,4.253344481605351,13.877090301003344,66.70150501672241,12452,207490,-480959714,38,1656,1,1,1,0,0,2,0,0,0,1,0,0,0,0
1062,RxJava,DoOnDisposeObserver,6,31,71,0,1,0,117,845,11,3,6,90,11,4.533333333333333,16.444444444444443,90.86666666666666,709,5743,2004191999,28,102,1,1,0,0,0,2,0,0,0,0,0,0,0,0
1063,RxJava,ResourceMaybeObserver,5,36,81,16,0,2773,467,3474,9,1,5,47,8,5.659574468085107,17.914893617021278,80.97872340425532,628,4934,1278966105,27,108,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1064,RxJava,FlowableConcatArray,7,46,183,23,9,0,343,2032,18,7,15,332,20,3.927710843373494,20.680722891566266,201.69277108433735,1615,11421,113274964,36,273,0,0,1,1,1,11,5,0,0,0,0,0,0,0
1065,RxJava,MaybeEqualTest,3,18,33,0,4,0,61,375,9,0,3,66,15,3.4545454545454546,22.87878787878788,233.9090909090909,270,1256,40842,17,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1066,RxJava,QueueDrainSubscriberPad4,0,17,17,0,0,45,24,182,0,0,2,0,4,0,0,0,222,1870,3991838,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1067,RxJava,FlowableFromIterableTest,114,187,1256,236,237,72,2698,15270,328,0,107,3157,20,2.831168831168831,16.51694646816598,163.2860310421286,12389,135671,1283166726,40,2143,4,3,8,0,0,5,0,0,0,0,0,1,0,0
1068,RxJava,FlowablePublishMulticast,26,124,674,118,27,102,1323,7417,87,16,55,1287,21,3.201243201243201,13.283605283605283,97.48096348096348,6232,63762,124708158,52,1012,2,2,9,3,1,48,7,7,1,0,0,0,0,0
1069,RxJava,BadObservableDoubleOnX,4,24,42,0,0,0,76,577,10,0,4,55,9,4.236363636363636,14.89090909090909,73.83636363636364,353,1803,364818,19,58,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1070,RxJava,FutureSingleObserver,11,44,145,0,4,118,307,1924,25,2,10,250,12,3.512,13.488,77.984,1532,16448,866091918,34,221,0,0,2,0,0,13,0,0,1,0,0,0,0,0
1071,RxJava,ScheduledReplaySupplier,2,13,35,0,0,0,44,458,0,4,4,37,8,5.243243243243243,15.513513513513514,65.89189189189189,369,2259,39917986,19,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1072,RxJava,ObservableEventStream,7,42,123,55,7,233,231,1646,19,5,9,183,11,3.7923497267759565,13.169398907103826,67.82513661202186,1071,5175,3691662,31,186,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1073,RxJava,TestFlowable,3,25,61,137,0,0,114,724,9,2,2,106,18,4.066037735849057,26.19811320754717,296.99056603773585,450,1934,364706,29,93,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1074,RxJava,ObservableTimeInterval,9,34,124,0,0,0,174,1292,10,7,11,135,10,4.911111111111111,16.40740740740741,78.95555555555555,1183,9601,-894799529,25,167,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1075,RxJava,ObservableDistinctUntilChanged,6,41,147,0,0,0,237,1495,10,4,6,185,12,4.5027027027027025,15.78918918918919,83.44324324324324,1201,7171,1318871580,31,191,1,1,1,0,0,7,1,0,0,0,0,1,0,0
1076,RxJava,BlockingLastObserver,2,11,19,0,0,81,36,262,1,0,2,17,6,5.470588235294118,14.764705882352942,52.76470588235294,182,1032,41817,18,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1077,RxJava,SingleEmitter,6,24,73,0,0,2708,292,2939,0,0,6,0,5,0,0,0,245,1493,3629004,15,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078,RxJava,SingleEqualsTest,1,17,25,20,1,0,61,362,8,0,1,55,13,3.2363636363636363,18.654545454545456,162.1818181818182,177,651,974,18,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1079,RxJava,SpscLinkedArrayQueue,25,84,466,112,22,502,822,6348,77,0,69,802,12,3.016209476309227,10.103491271820449,51.6072319201995,5318,85544,4744922,34,668,0,0,2,0,0,10,5,1,1,0,0,0,0,0
1080,RxJava,PublishAsyncEmitterNoCancel,10,23,73,0,0,0,113,811,10,1,9,107,13,3.7850467289719627,15.485981308411215,105.05607476635514,669,4003,479007140,20,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081,RxJava,MaybeDoFinally,10,37,106,0,3,133,196,1421,16,5,9,124,12,4.943548387096774,18.088709677419356,102.00806451612904,1118,10234,113274431,29,148,1,1,0,0,0,2,0,0,0,0,0,0,0,0
1082,RxJava,MaybeFromAction,3,26,53,0,0,86,107,633,11,1,1,79,13,3.9746835443037973,17.645569620253166,128.9873417721519,407,2261,39918455,29,73,1,1,0,0,0,3,1,0,0,0,0,0,0,0
1083,RxJava,TruePredicate,1,6,7,0,0,0,10,106,0,0,1,3,5,13.333333333333334,33.333333333333336,107.33333333333333,75,363,862,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1084,RxJava,FlowableDoAfterNext,11,38,163,0,0,123,285,1888,17,3,9,206,13,4.781553398058253,19.92718446601942,127.2864077669903,1305,7175,83477551,33,209,3,3,0,0,0,6,1,0,0,0,0,1,0,0
1085,RxJava,SingleTakeUntil,15,51,203,0,2,157,344,2603,29,5,14,273,13,4.197802197802198,15.853479853479854,91.93406593406593,1847,13553,-719375815,31,292,0,0,0,0,0,8,0,0,0,0,0,0,0,0
1086,RxJava,MapObserver,4,29,66,76,0,0,117,709,9,1,3,89,10,4.044943820224719,13.910112359550562,69.91011235955057,547,2969,39923798,29,91,1,1,0,0,0,2,0,0,0,1,0,1,0,0
1087,RxJava,FlowableDoOnSubscribeTest,9,37,157,0,11,0,302,1844,47,0,9,373,19,2.8257372654155497,16.230563002680967,162.67024128686327,1325,9513,-898425097,18,237,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1088,RxJava,TestConnectableFlowable,4,14,22,0,0,0,36,348,0,0,5,10,7,13.5,41.1,172.5,295,2107,39918554,18,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1089,RxJava,TimeoutFallbackSubscriber,9,63,215,48,5,0,390,2563,36,7,14,358,12,3.3379888268156424,11.863128491620111,61.93016759776536,1971,19257,-772306552,33,319,1,1,0,0,0,11,2,0,1,0,0,0,0,0
1090,RxJava,TestASynchronousFlowable,2,16,24,7,0,0,46,315,4,0,2,38,13,4.842105263157895,27.31578947368421,235.68421052631578,188,756,1653,19,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1091,RxJava,UnicastProcessorAsPublisherTckTest,3,27,43,0,4,0,95,572,9,0,4,93,16,3.3978494623655915,20.559139784946236,212.04301075268816,313,1091,1782,28,66,1,1,2,0,0,1,0,0,0,0,0,0,0,0
1092,RxJava,CompletableFromObservableObserver,5,15,33,0,0,0,46,372,3,1,4,25,7,6.52,18.76,73.24,343,2297,39919187,18,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1093,RxJava,TakeLastTimedSubscriber,10,68,255,11,8,0,480,2651,40,11,33,480,14,3.1979166666666665,12.577083333333333,80.87291666666667,2652,33512,1409701128,37,388,0,0,3,3,0,19,4,1,1,0,0,0,0,0
1094,RxJava,WhenReceiver,7,36,83,0,3,0,144,1058,12,3,8,101,11,4.603960396039604,16.08910891089109,86.04950495049505,947,10089,-2102128960,26,119,0,0,1,1,0,3,0,0,0,0,0,0,0,0
1095,RxJava,ObservableDelay,14,44,187,11,1,0,283,1989,15,13,18,232,11,4.573275862068965,15.961206896551724,80.8146551724138,1962,17898,-43656137,31,265,2,0,0,0,0,2,1,0,0,1,0,0,0,0
1096,RxJava,DetachCompletableObserver,6,18,63,0,0,0,100,812,6,3,5,101,9,3.4158415841584158,11.475247524752476,54.801980198019805,554,3534,1932055548,22,99,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1097,RxJava,ObservableBufferTest,176,300,4333,979,462,0,8362,47682,1272,1,148,9417,21,2.6589147286821704,13.698523946055007,125.47318678984814,44012,1429284,-2117332004,44,6848,5,1,3,0,0,17,8,0,0,0,0,1,0,0
1098,RxJava,ConcatMapMaybeObserver,6,23,44,0,1,0,72,587,5,1,6,37,7,6.351351351351352,18.027027027027028,68.13513513513513,512,4032,1278947868,21,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,RxJava,LinkedQueueNode,7,16,39,0,1,78,72,523,5,0,3,37,7,5.918918918918919,16.783783783783782,63,444,3602,1278945942,22,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,RxJava,SafeSubscriberWithPluginTest,33,46,363,207,5,0,734,5193,28,0,40,892,15,3.2533632286995515,17.345291479820627,139.847533632287,2904,13250,1278973176,29,524,2,2,0,0,0,5,0,0,0,0,0,1,0,0
1101,RxJava,FlowableDoFinally,27,57,309,22,8,122,558,3624,41,13,32,446,14,4.213004484304933,17.199551569506728,112.68385650224215,3341,38335,1340180944,37,455,2,2,0,0,0,13,1,4,0,0,0,0,0,0
1102,RxJava,JoinSubscription,12,112,481,241,15,0,893,5216,90,11,27,876,19,3.0490867579908674,11.526255707762557,77.94634703196347,5140,90718,-1693513347,40,698,4,4,4,2,0,21,7,1,0,2,0,1,0,0
1103,RxJava,MaybeFlatMapSingleTest,20,43,220,109,15,0,433,2880,49,0,10,521,18,3.439539347408829,24.391554702495203,263.54702495201536,1800,8592,479054114,26,334,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1104,RxJava,FlowableFlatMapSingleTest,56,132,840,69,180,0,1718,9960,237,0,36,2015,22,3.1245657568238214,22.175682382133996,255.51464019851116,8117,66181,1425459584,38,1413,2,0,2,0,0,2,0,0,0,0,0,1,0,0
1105,RxJava,ObservableIntervalTest,3,26,42,0,14,0,88,498,11,0,3,85,10,2.8823529411764706,11.91764705882353,72.55294117647058,440,2922,479003172,18,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,RxJava,CompletableUsing,9,53,235,87,1,0,412,2945,34,9,12,396,16,3.7474747474747474,17.954545454545453,144.59595959595958,1951,13497,588658115,33,338,7,7,0,0,0,10,2,0,0,0,0,0,0,0
1107,RxJava,WindowExactBoundedObserver,11,80,370,0,9,0,660,4056,58,10,28,714,17,2.918767507002801,11.619047619047619,80.70028011204482,3421,35875,-1161218477,37,544,0,0,2,2,1,25,7,1,2,0,0,0,0,0
1108,RxJava,FlowableConcatMapCompletableTest,29,103,554,0,34,0,1035,6369,183,0,27,1202,19,2.8377703826955076,15.864392678868553,148.46006655574044,4416,30022,1223576195,33,852,2,0,2,0,0,2,0,0,1,0,0,1,0,0
1109,RxJava,SingleDeferTest,2,16,27,0,2,0,53,257,4,0,3,64,14,3.21875,19.625,184.53125,186,642,968,23,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1110,RxJava,ObservableLastSingle,9,33,118,0,0,154,187,1443,8,6,7,149,13,4.563758389261745,17.449664429530202,105.31543624161074,1106,8638,-248601611,29,171,0,0,0,0,0,3,2,0,0,0,0,0,0,0
1111,RxJava,ParallelRunOn,19,90,523,26,17,85,999,5548,69,15,50,946,15,3.2938689217758985,12.59830866807611,76.70824524312897,4733,38527,-2091550139,47,754,0,0,5,4,0,42,4,4,0,0,0,0,0,0
