0.954094112,,,0.73,0.954094112
0.199965626,,,0.31,0.199965626
0.414373517,,,0.49,0.414373517
0.229050875,,,0.01,0.229050875
0.914210498,,,0.83,0.914210498
0.835831583,,,0.83,0.835831583
0.679419041,,,0.37,0.679419041
0.603940964,,,0.58,0.603940964
0.690893888,,,0.76,0.690893888
1.16893661,,,0.72,1
1.044030905,,,0.84,1
0.888302207,,,0.51,0.888302207
0.719705045,,,0.87,0.719705045
0.810046554,,,0.92,0.810046554
0.79129827,,,0.91,0.79129827
0.821048141,,,0.93,0.821048141
0.477185398,,,0.51,0.477185398
0.951400459,,,1,0.951400459
0.165842235,,,0.21,0.165842235
0.516642272,,,0.44,0.516642272
1.004424691,,,0.8,1
0.466567069,,,0.53,0.466567069
0.898326516,,,0.5,0.898326516
0.717096388,,,0.86,0.717096388
1.009155512,,,1,1
0.278137743,,,0.31,0.278137743
0.660230637,,,0.71,0.660230637
0.802654266,,,0.71,0.802654266
0.428109884,,,0.59,0.428109884
0.734984815,,,0.76,0.734984815
0.424528718,,,0.68,0.424528718
0.466413915,,,0.19,0.466413915
0.853295326,,,0.88,0.853295326
0.107212618,,,0.03,0.107212618
0.404445231,,,0.72,0.404445231
0.555342615,,,0.57,0.555342615
0.453183353,,,0.49,0.453183353
0.851162136,,,0.14,0.851162136
0.78352052,,,1,0.78352052
0.839658439,,,0.75,0.839658439
0.434146851,,,0.79,0.434146851
0.329782933,,,0.06,0.329782933
0.674046278,,,0.67,0.674046278
0.876352847,,,0.71,0.876352847
0.794906735,,,0.97,0.794906735
0.362085164,,,0.42,0.362085164
0.488759488,,,0.65,0.488759488
0.665431142,,,0.44,0.665431142
0.642444253,,,0.57,0.642444253
0.623056531,,,0.88,0.623056531
0.928501308,,,0.9,0.928501308
0.51255703,,,0.52,0.51255703
0.533969045,,,0.67,0.533969045
0.956336856,,,0.97,0.956336856
0.452189445,,,0.76,0.452189445
0.8857373,,,0.93,0.8857373
1.018408537,,,1,1
0.811039329,,,0.39,0.811039329
0.576266885,,,0.64,0.576266885
0.812669158,,,1,0.812669158
0.795509517,,,0.93,0.795509517
0.523381352,,,0.5,0.523381352
0.15244472,,,0.12,0.15244472
0.765424848,,,0.79,0.765424848
0.533065736,,,0.58,0.533065736
