project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,isAssertionRoulette,isEagerTest,isLazyTest,isMysteryGuest,isSensitiveEquality,isResourceOptimism,isForTestersOnly,isIndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WMC_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,BUSWEIMER_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WMC_test,NOA_test,NOPA_test,NOP_test,McCABE_test,BUSWEIMER_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
RxJava,,be0353cc6334fbb60a285f2f4f4ba88150f099e6,/home/ubuntu/scripts_mutation/projects/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableUsingTest.java,io.reactivex.internal.operators.observable.ObservableUsingTest,/home/ubuntu/scripts_mutation/projects/RxJava/src/main/java/io/reactivex/internal/operators/observable/ObservableUsing.java,io.reactivex.internal.operators.observable.ObservableUsing,0.818181818,22,1,1,0,0,0,0,0,0,1,173,745.7360869,9,9,7,7,4,4,0,0,1,1,0,0,1,0,0,0,2,4,0,0,5,0,609,1904.429795,298,15,225,8,2,2,2622,2616,6,65,-0.002738654,70,0.04109589,0,5,1.615384615,73,2,0,1,175,0,0,0,0,0,0,0,0,0,0.67824388,0.716606089
RxJava,,be0353cc6334fbb60a285f2f4f4ba88150f099e6,/home/ubuntu/scripts_mutation/projects/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableSwitchIfEmptyTest.java,io.reactivex.internal.operators.observable.ObservableSwitchIfEmptyTest,/home/ubuntu/scripts_mutation/projects/RxJava/src/main/java/io/reactivex/internal/operators/observable/ObservableSwitchIfEmpty.java,io.reactivex.internal.operators.observable.ObservableSwitchIfEmpty,1,4,1,1,0,0,0,0,0,0,0,76,345.2284152,4,3,2,2,1,1,0,0,1,1,0,0,1,0,0,0,2,1,0,0,2,0,110,386.9608167,53,8,42,10,0,0,55,55,0,8,-0.044444444,0,0,0,2,1.5,11,0,0,0,17,0,0,0,0,0,0,0,0,0,0.706214926,0.771150892
RxJava,,be0353cc6334fbb60a285f2f4f4ba88150f099e6,/home/ubuntu/scripts_mutation/projects/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableZipTest.java,io.reactivex.internal.operators.observable.ObservableZipTest,/home/ubuntu/scripts_mutation/projects/RxJava/src/main/java/io/reactivex/internal/operators/observable/ObservableZip.java,io.reactivex.internal.operators.observable.ObservableZip,0.851851852,27,1,1,0,0,0,1,0,0,0,297,1698.760386,5,9,3,3,5,5,0,0,1,1,0,0,1,0,0,0,2,5,0,0,6,0,1431,6303.028175,634,18,516,6,9,8,6571,6239,332,531,0.061007958,13,0.064030132,4,21,1.441860465,118,9,0,0,284,0,0,0,0,0,0,0,0,0,0.697796059,0.692093043
RxJava,,be0353cc6334fbb60a285f2f4f4ba88150f099e6,/home/ubuntu/scripts_mutation/projects/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableJoinTest.java,io.reactivex.internal.operators.observable.ObservableJoinTest,/home/ubuntu/scripts_mutation/projects/RxJava/src/main/java/io/reactivex/internal/operators/observable/ObservableJoin.java,io.reactivex.internal.operators.observable.ObservableJoin,0.857142857,14,1,1,0,0,0,0,0,0,1,361,1817.539775,5,12,3,3,4,4,0,0,1,1,0,0,1,0,0,0,2,4,0,0,2,0,448,1087.46832,205,13,174,10,2,2,374,283,91,107,0.177011494,20,0.370967742,2,10,1.0625,31,2,0,0,73,0,0,0,0,0,0,1,0,0,0.624416942,0.640308208
RxJava,,be0353cc6334fbb60a285f2f4f4ba88150f099e6,/home/ubuntu/scripts_mutation/projects/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableDoOnEachTest.java,io.reactivex.internal.operators.observable.ObservableDoOnEachTest,/home/ubuntu/scripts_mutation/projects/RxJava/src/main/java/io/reactivex/internal/operators/observable/ObservableDoOnEach.java,io.reactivex.internal.operators.observable.ObservableDoOnEach,1,6,1,1,0,0,0,0,0,0,0,151,567.0018299,3,6,1,1,4,3,0,0,1,1,0,0,1,0,0,0,2,4,0,0,2,0,709,1735.054563,350,16,284,12,2,1,2139,2133,6,130,0.03125,63,0.053030303,1,17,1,66,2,0,0,131,0,0,0,0,0,0,0,0,0,0.688357757,0.728808525
RxJava,,be0353cc6334fbb60a285f2f4f4ba88150f099e6,/home/ubuntu/scripts_mutation/projects/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableConcatMapCompletableTest.java,io.reactivex.internal.operators.observable.ObservableConcatMapCompletableTest,/home/ubuntu/scripts_mutation/projects/RxJava/src/main/java/io/reactivex/internal/operators/mixed/ObservableConcatMapCompletable.java,io.reactivex.internal.operators.mixed.ObservableConcatMapCompletable,0.6,10,1,1,0,0,0,0,0,0,1,302,1587.069309,4,11,2,2,4,4,0,0,1,1,0,0,1,0,0,0,2,4,0,0,3,0,250,847.2944125,123,10,95,13,0,0,378,378,0,32,0.014245014,0,0,0,6,3,28,0,0,0,49,0,0,0,0,0,0,1,0,0,0.659451964,0.635202304
RxJava,,be0353cc6334fbb60a285f2f4f4ba88150f099e6,/home/ubuntu/scripts_mutation/projects/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableRepeatTest.java,io.reactivex.internal.operators.observable.ObservableRepeatTest,/home/ubuntu/scripts_mutation/projects/RxJava/src/main/java/io/reactivex/internal/operators/observable/ObservableRepeat.java,io.reactivex.internal.operators.observable.ObservableRepeat,0.75,12,1,1,0,0,0,0,0,0,0,101,685.0587663,4,4,2,2,1,1,0,0,1,1,0,0,1,0,0,0,2,1,0,0,2,0,327,1363.333465,219,16,185,23,0,0,561,561,0,19,-0.026515152,0,0,0,11,1.5,34,0,0,0,81,0,0,0,0,0,0,0,0,0,0.707655741,0.640581864
RxJava,,be0353cc6334fbb60a285f2f4f4ba88150f099e6,/home/ubuntu/scripts_mutation/projects/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableAmbTest.java,io.reactivex.internal.operators.observable.ObservableAmbTest,/home/ubuntu/scripts_mutation/projects/RxJava/src/main/java/io/reactivex/internal/operators/observable/ObservableAmb.java,io.reactivex.internal.operators.observable.ObservableAmb,0.72972973,37,0.818181818,1,0,0,0,0,0,0,0,204,1219.930026,7,6,5,5,2,2,0,0,1,1,0,0,1,0,0,0,2,2,0,0,8,0,386,1526.765706,182,18,151,10,2,2,456,447,9,17,-0.029885057,28,0.112903226,0,7,0.571428571,31,2,0,2,51,0,0,0,0,0,0,0,0,0,0.660445044,0.654604615
RxJava,,be0353cc6334fbb60a285f2f4f4ba88150f099e6,/home/ubuntu/scripts_mutation/projects/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableDebounceTest.java,io.reactivex.internal.operators.observable.ObservableDebounceTest,/home/ubuntu/scripts_mutation/projects/RxJava/src/main/java/io/reactivex/internal/operators/observable/ObservableDebounce.java,io.reactivex.internal.operators.observable.ObservableDebounce,1,4,1,1,0,0,0,0,0,0,1,189,877.2222839,3,9,1,1,1,1,0,0,1,1,0,0,1,0,0,0,2,1,0,0,2,0,508,1852.906194,294,19,246,5,3,3,870,612,258,276,0.211840888,18,0.229166667,2,14,0.571428571,48,3,0,3,95,0,0,0,0,0,0,0,0,0,0.660746021,0.539945749
RxJava,,be0353cc6334fbb60a285f2f4f4ba88150f099e6,/home/ubuntu/scripts_mutation/projects/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableBufferTest.java,io.reactivex.internal.operators.observable.ObservableBufferTest,/home/ubuntu/scripts_mutation/projects/RxJava/src/main/java/io/reactivex/internal/operators/observable/ObservableBuffer.java,io.reactivex.internal.operators.observable.ObservableBuffer,0.928571429,14,1,1,0,0,0,0,0,0,1,224,1086.252202,4,9,2,2,3,2,0,0,1,1,0,0,1,0,0,0,2,3,0,0,4,0,2139,5806.197262,1154,24,980,4,19,4,14054,13057,997,1339,0.078370749,9,0.026315789,5,74,1.096446701,174,19,0,3,408,0,0,0,0,0,0,0,0,0,0.683165001,0.526197057
RxJava,,be0353cc6334fbb60a285f2f4f4ba88150f099e6,/home/ubuntu/scripts_mutation/projects/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableMapNotificationTest.java,io.reactivex.internal.operators.observable.ObservableMapNotificationTest,/home/ubuntu/scripts_mutation/projects/RxJava/src/main/java/io/reactivex/internal/operators/observable/ObservableMapNotification.java,io.reactivex.internal.operators.observable.ObservableMapNotification,1,5,1,1,0,0,0,0,0,0,1,131,558.6811373,3,7,1,1,3,3,0,0,1,1,0,0,1,0,0,0,2,3,0,0,4,0,107,412.0981273,49,9,39,39,0,0,45,45,0,0,-0.25,0,0,0,3,0,10,0,0,0,22,0,0,0,0,0,0,0,0,0,0.549767067,0.637398794
