Nº,Project,TestClassName,Assrtions,Conditions,TryCatch,Loop,Hamcrest,Mockito,BadApi,LOC,Expressions,Depth,Vocabulary,Understandability,BodySize,Dexterity,NonWhiteCharacters
5692,fastjson,FieldDeserializerTest6,5,0,0,0,0,0,5,16,73,11,11,666,76,3,509
5693,fastjson,KeyValue,0,0,0,0,0,0,0,12,27,7,8,247,20,2,223
5694,fastjson,PropertyPreFilterClassLevelTest,2,0,0,0,0,0,0,25,60,9,20,573,76,3,577
5695,fastjson,LexerTest,47,0,3,7,0,0,0,518,945,10,63,8573,1279,3,6368
5696,fastjson,JSONPath_containsValue_2,10,0,0,0,0,0,0,37,107,8,12,888,119,3,823
5697,fastjson,OffsetDateTimeTest,1,0,0,0,0,0,0,25,57,9,22,507,64,3,422
5698,fastjson,DianDianCart,0,0,0,0,0,0,0,6,11,7,4,112,10,2,106
5699,fastjson,WriteNonStringValueAsStringTestByteObjectField,2,0,0,0,0,0,0,26,58,8,18,512,66,3,507
5700,fastjson,JSONArrayTest_hashCode,2,0,0,0,0,0,0,6,28,9,11,227,28,3,274
5701,fastjson,NamingSerTest,12,0,0,0,0,0,0,148,324,9,29,2852,432,3,2492
5702,fastjson,ClassNameFilterTest,2,0,0,0,0,0,0,16,51,12,24,603,66,3,480
5703,fastjson,Bug_for_zhaoyao,1,0,0,0,0,0,1,32,82,11,34,735,85,3,622
5704,fastjson,FloatFieldTest,1,0,0,0,0,0,1,25,53,9,20,490,63,3,403
5705,fastjson,ModelSerializer,0,0,0,0,0,0,0,13,37,8,20,326,32,2,305
5706,fastjson,MyExtraProcessor,0,1,0,0,0,0,0,18,34,8,16,290,30,2,275
5707,fastjson,SpecialStringTest,2,0,0,0,0,0,0,32,73,9,16,629,92,3,1013
5708,fastjson,JSONPath_containsValue_biginteger,6,0,0,0,0,0,0,25,74,8,13,614,82,3,598
5709,fastjson,LocalTimeTest,4,0,0,0,0,0,0,48,114,9,33,979,131,3,823
5710,fastjson,FastJsonResolver,0,0,0,0,0,0,0,10,23,8,12,182,21,2,301
5711,fastjson,Localtion,0,0,0,0,0,0,0,7,17,7,3,158,14,2,175
5712,fastjson,URITest,2,0,0,0,0,0,0,16,43,9,16,344,52,3,305
5713,fastjson,Family,0,0,0,0,0,0,0,48,99,7,27,1218,80,2,899
5714,fastjson,SerializeWriterTest_BrowserSecure,6,0,0,2,0,0,0,106,207,10,37,1855,270,3,2027
5715,fastjson,JSONReaderScannerTest_decimal,1,1,0,2,0,0,0,48,86,10,25,816,122,3,537
5716,fastjson,Pojo,0,0,0,0,0,0,0,6,14,7,5,122,10,2,105
5717,fastjson,IntegerAsStringTest,1,0,0,0,0,0,0,7,24,9,13,209,23,3,223
5718,fastjson,JSONReader_array,7,0,0,1,0,0,0,67,117,11,33,1178,161,3,873
5719,fastjson,JSONPath_field_access_filter_compare_int,10,0,0,0,0,0,0,90,241,9,30,2191,286,3,1596
5720,fastjson,MyMap,0,0,0,0,0,0,0,3,7,7,5,61,5,3,85
5721,fastjson,Bug89,1,0,1,0,0,0,0,13,16,8,10,176,24,2,149
5722,fastjson,IVO2,0,0,0,0,0,0,0,6,18,7,7,178,10,2,202
5723,fastjson,CharArraySerializerTest,2,0,0,0,0,0,0,16,44,8,16,435,46,3,462
5724,fastjson,BigListStringFieldTest_private,3,0,0,4,0,0,0,104,224,10,31,2092,307,3,1353
5725,fastjson,URLDeserializerTest,5,0,1,0,0,0,0,32,80,10,25,697,100,3,685
5726,fastjson,Parcelable,0,0,0,0,0,0,0,0,1,2,1,6,0,2,33
5727,fastjson,JSONPath_array_length,2,0,0,0,0,0,0,6,27,10,11,245,29,3,264
5728,fastjson,LongArraySerializerTest,5,0,0,0,0,0,0,22,75,10,14,744,88,3,644
5729,fastjson,Bug_for_jiangwei1,2,0,0,0,0,0,2,14,36,8,14,287,40,3,327
5730,fastjson,WriteNonStringValueAsStringTestFloatField2,1,0,0,0,0,0,0,13,33,8,17,280,33,3,315
5731,fastjson,JSONReaderScannerTest_negative,4,0,0,0,0,0,3,64,153,11,27,1438,211,3,1207
5732,fastjson,JSONCreatorTest_float,4,0,0,0,0,0,2,48,123,9,24,1111,135,3,886
5733,fastjson,PatternTest,2,0,0,0,0,0,0,16,43,9,16,344,52,3,291
5734,fastjson,ReadOnlyAtomicBooleanTest_field,2,0,0,0,0,0,0,19,51,9,18,434,57,3,404
5735,fastjson,BooleanFieldTest,2,0,0,0,0,0,0,26,48,8,14,419,60,3,411
5736,fastjson,MyObject,0,0,0,0,0,0,0,78,166,7,46,2621,129,2,2343
5737,fastjson,JSONScannerTest_scanSymbol,18,0,0,1,0,0,0,124,268,9,34,2240,337,4,2201
5738,fastjson,MapTest2,3,0,0,0,0,0,0,13,41,11,13,393,54,3,288
5739,fastjson,LongFieldTest_3,2,0,0,2,0,0,0,34,86,10,20,832,117,3,477
5740,fastjson,LongFieldTest_4,2,0,0,2,0,0,0,34,96,10,27,890,117,3,575
5741,fastjson,Def,0,0,0,0,0,0,0,0,3,4,3,21,0,4,44
5742,fastjson,JSONCreatorTest_double_obj,4,0,0,0,0,0,2,48,134,9,26,1192,143,3,950
5743,fastjson,LongFieldTest_2,8,0,0,0,0,0,0,134,332,10,34,2936,430,3,2091
5744,fastjson,ReadOnlyCollectionTest_final_field_null,2,0,0,0,0,0,0,13,35,9,18,325,34,3,345
5745,fastjson,TestVO,0,0,0,0,0,0,0,12,27,7,9,230,20,2,202
5746,fastjson,ParseContextTest,1,0,0,0,0,0,0,3,16,10,9,140,16,3,161
5747,fastjson,PropertyFilterClassLevelTest_private,2,0,0,0,0,0,0,31,78,11,25,1001,118,3,715
5748,fastjson,URLFieldTest,2,0,0,0,0,0,0,53,118,9,28,1054,148,3,899
5749,fastjson,Entity,0,0,0,0,0,0,0,6,14,7,4,122,10,2,123
5750,fastjson,Bug_for_gongwenhua,2,0,0,0,0,0,0,13,25,7,13,197,30,3,387
5751,fastjson,PropertyFilterTest2,1,0,0,0,0,0,0,25,49,12,21,612,82,3,365
5752,fastjson,WriteNonStringValueAsStringTestIntField,1,0,0,0,0,0,0,13,29,8,15,254,33,3,282
5753,fastjson,DefaultJSONParserTest,12,0,7,0,0,0,0,175,227,10,31,2362,360,3,1878
5754,fastjson,ListSerializerTest2,1,0,0,0,0,0,0,19,48,9,19,474,69,3,374
5755,fastjson,ForceLazyLoadingTest,1,1,0,0,0,0,0,26,55,9,28,463,64,3,498
5756,fastjson,ByteArrayFieldTest_7_gzip_hex,2,0,0,1,0,0,0,33,70,9,24,616,85,3,651
5757,fastjson,FeatureTest_8,1,0,0,0,0,0,0,7,25,9,14,219,24,3,223
5758,fastjson,Bug_for_DiffType,1,0,0,0,0,0,0,22,53,9,20,487,61,3,418
5759,fastjson,SqlDateDeserializerTest2,10,0,0,0,0,0,0,74,229,10,38,2072,275,3,1555
5760,fastjson,NameFilterTest_byte,3,3,0,0,0,0,0,94,151,16,38,1918,229,3,1184
5761,fastjson,JSONScannerTest_symbol,15,0,2,0,0,0,13,260,432,10,33,4100,626,4,3906
5762,fastjson,JSONScannerTest_null,6,0,6,0,0,0,0,190,234,10,27,2562,362,3,2318
5763,fastjson,DefaultExtJSONParserTest_6,2,0,0,0,0,0,0,44,89,8,19,833,102,3,830
5764,fastjson,DefaultExtJSONParserTest_7,5,0,2,0,0,0,0,73,126,10,28,1201,185,3,1058
5765,fastjson,AisleDeployInfo,0,0,0,0,0,0,0,12,24,7,8,237,20,2,266
5766,fastjson,LocalDateTest4,3,0,0,0,0,0,0,13,42,9,15,336,43,3,322
5767,fastjson,LocalDateTest3,3,0,0,0,0,0,0,13,42,9,15,336,43,3,324
5768,fastjson,OrderedFieldTest,2,0,0,0,0,0,0,16,40,9,19,363,45,3,365
5769,fastjson,LocalDateTest5,30,0,0,0,0,0,0,148,417,9,31,3369,477,3,2766
5770,fastjson,Bug_for_issue_537,6,0,3,0,0,0,0,72,113,10,24,1178,154,3,1027
5771,fastjson,ArrayMappingErrorTest3,1,0,1,0,0,0,0,16,31,10,18,342,35,3,325
5772,fastjson,DefaultExtJSONParserTest_4,5,0,0,3,0,0,0,142,265,11,43,2910,361,3,1897
5773,fastjson,DefaultExtJSONParserTest_5,2,0,0,0,0,0,0,38,71,8,18,642,88,3,676
5774,fastjson,DefaultExtJSONParserTest_2,12,0,7,0,0,0,0,229,362,10,41,3727,524,3,3007
5775,fastjson,DefaultExtJSONParserTest_3,9,0,0,0,0,0,0,158,351,9,55,3353,412,3,2664
5776,fastjson,JSONScannerTest_colon,10,0,1,0,0,0,0,110,195,10,27,1722,253,4,1688
5777,fastjson,ArrayMappingErrorTest2,1,0,1,0,0,0,0,16,29,10,17,315,35,3,304
5778,fastjson,ListStringFieldTest_dom_array,12,0,0,0,0,0,0,50,157,9,22,1247,166,3,1017
5779,fastjson,DefaultExtJSONParserTest_0,6,0,5,0,0,0,0,176,267,10,59,3299,361,3,2629
5780,fastjson,DefaultExtJSONParserTest_1,20,0,0,0,0,0,0,148,334,9,62,3257,411,3,1821
5781,fastjson,LocalDateTest2,4,0,0,0,0,0,0,16,51,9,15,401,53,3,381
5782,fastjson,StreamWriterTest_writeValueString2,2,0,0,0,0,0,0,22,38,8,16,316,50,3,364
5783,fastjson,StreamWriterTest_writeValueString1,2,0,0,0,0,0,0,25,45,8,19,369,58,3,413
5784,fastjson,CharTest,3,0,0,0,0,0,0,22,46,9,16,391,60,3,327
5785,fastjson,UserExt,0,0,0,0,0,0,0,6,17,7,6,161,10,2,164
5786,fastjson,JSONSerializerDeprecatedTest,1,0,0,0,0,0,0,13,28,9,14,216,31,3,287
5787,fastjson,FileTest,2,0,0,0,0,0,0,16,38,9,15,317,48,3,273
5788,fastjson,StringBuilderFieldTest,10,0,0,0,0,0,0,99,209,9,37,1861,268,3,1680
5789,fastjson,IntegerArrayFieldSerializerTest,2,0,0,0,0,0,0,23,51,8,16,525,60,3,461
5790,fastjson,RainbowStats,0,0,0,0,0,0,0,20,28,7,8,259,24,2,243
5791,fastjson,Queue,0,0,0,0,0,0,0,12,25,7,8,256,21,2,212
5792,fastjson,Bug_for_zhuel,5,0,0,1,0,0,0,440,791,11,79,13497,988,3,4579
5793,fastjson,JSONScannerTest_true,6,0,6,0,0,0,0,190,234,10,27,2562,362,3,2238
5794,fastjson,PropertyFilter_double,6,4,0,0,0,0,0,200,314,16,41,3893,503,3,2510
5795,fastjson,FeatureTest,12,0,0,0,0,0,0,53,152,8,18,1167,172,3,1151
5796,fastjson,FastJsonJsonViewTest,20,2,0,0,0,0,0,247,520,12,70,4955,645,3,4331
5797,fastjson,ByteArrayFieldTest_6_gzip,2,0,0,1,0,0,0,33,70,9,24,616,85,3,639
5798,fastjson,GenericFastJsonRedisSerializerTest,6,0,0,0,3,0,0,66,191,11,40,1778,190,2,1315
5799,fastjson,PrePropertyFilterTest,1,0,0,0,0,0,0,22,36,11,22,497,65,3,353
5800,fastjson,PointSerializerTest,1,0,0,0,0,0,0,13,33,8,16,314,31,3,320
5801,fastjson,FastJsonHttpMessageConverter4Test,3,0,0,0,0,0,0,76,167,14,50,1968,248,3,1562
5802,fastjson,TestType,12,0,0,0,0,0,0,37,161,12,21,1396,189,3,1057
5803,fastjson,JSONObjectTest_getDate,2,0,0,0,0,0,0,13,28,8,12,215,32,3,224
5804,fastjson,PublicFieldStringTest,1,0,0,0,0,0,0,16,39,9,15,337,46,3,255
5805,fastjson,RectangleSerializerTest,2,0,0,0,0,0,0,19,49,10,21,460,54,3,472
5806,fastjson,ParentClass,0,0,0,0,0,0,0,6,18,7,7,143,10,2,156
5807,fastjson,PropertyFilterClassLevelTest,2,0,0,0,0,0,0,31,78,11,25,1001,118,3,705
5808,fastjson,WriteNullListAsEmptyTest,4,0,0,0,0,0,0,40,124,9,23,1285,103,3,1081
5809,fastjson,Bug_for_hifor_issue_511,1,0,0,0,0,0,0,70,259,11,75,3725,182,3,2805
5810,fastjson,JSON_toJavaObject_test,2,0,0,0,0,0,0,14,44,10,18,440,49,3,372
5811,fastjson,Bug_for_wuzhengmao,4,0,0,0,0,0,0,52,121,10,30,1139,147,3,714
5812,fastjson,VO2,0,0,0,0,0,0,0,6,14,7,5,122,10,2,127
5813,fastjson,VO1,0,0,0,0,0,0,0,6,11,7,4,112,10,2,97
5814,fastjson,VO4,0,0,0,0,0,0,0,6,18,7,6,165,10,2,144
5815,fastjson,VO3,0,1,0,1,0,0,0,24,42,11,12,458,52,2,324
5816,fastjson,ConstructorErrorTest_initError,1,0,1,0,0,0,0,19,32,10,18,352,41,3,351
5817,fastjson,JSONReaderError,11,0,3,0,0,0,0,125,233,13,29,2570,352,3,1988
5818,fastjson,JSONFieldTest2,1,0,0,0,0,0,0,28,52,8,20,531,54,3,426
5819,fastjson,JSONFieldTest3,1,0,0,0,0,0,0,34,66,8,25,707,64,3,541
5820,fastjson,AfterFilterTest,2,0,0,0,0,0,0,24,60,12,17,756,84,3,576
5821,fastjson,JSONReaderScannerTest_boolean,2,0,0,0,0,0,0,26,56,9,18,469,72,3,512
5822,fastjson,Bug_for_huling,12,0,0,0,0,0,0,106,224,9,24,1892,278,3,1494
5823,fastjson,DateFormatDeserializerTest,7,0,1,0,0,0,0,78,176,10,34,1586,212,3,1521
5824,fastjson,Bug_for_issue_572,1,0,0,0,0,0,0,28,56,8,20,554,59,3,491
5825,fastjson,NameFilterTest_short_field,4,3,0,0,0,0,0,86,137,16,34,1789,217,3,1088
5826,fastjson,DataTransaction2,2,0,0,0,0,0,0,201,508,10,93,5866,434,3,4084
5827,fastjson,TestWriteSlashAsSpecial,1,0,0,0,0,0,0,19,60,8,17,451,62,3,589
5828,fastjson,WriteAsArray_float2_private,6,0,3,0,0,0,1,85,153,10,32,1532,198,3,1191
5829,fastjson,JSONFieldTest4,1,0,0,0,0,0,0,34,66,8,25,707,64,3,547
5830,fastjson,TestASM_double,1,0,0,0,0,0,1,19,44,9,18,423,51,3,331
5831,fastjson,JSONFieldTest5,2,0,0,0,0,0,0,22,46,10,16,436,53,3,347
5832,fastjson,JSONScannerTest_scanFieldFloat,17,0,10,0,0,0,7,273,386,10,38,4142,576,3,3158
5833,fastjson,VO_Short,0,0,0,0,0,0,0,12,21,7,7,227,20,2,189
