Nº,Project,TestClassName,Assrtions,Conditions,TryCatch,Loop,Hamcrest,Mockito,BadApi,LOC,Expressions,Depth,Vocabulary,Understandability,BodySize,Dexterity,NonWhiteCharacters
1,RxJava,TestSingleThreadedObservable,0,0,2,1,0,0,0,55,95,18,28,1333,120,3,952
2,RxJava,ConvertToCylonDetector,0,0,0,0,0,0,0,3,19,6,9,166,6,2,231
3,RxJava,ParallelFilterTest,4,0,2,2,0,0,0,69,221,17,41,2848,290,2,1604
4,RxJava,AllSubscriber,0,0,0,0,0,0,0,0,34,5,20,316,6,2,342
5,RxJava,SingleNullTests,11,5,6,6,0,0,0,652,2224,17,235,33297,2679,2,18487
6,RxJava,ObservableConcatWithMaybeTest,9,0,0,0,0,0,0,147,389,19,53,5394,546,2,2647
7,RxJava,MaybeFlatMapCompletableTest,0,0,0,0,0,0,0,18,82,15,22,1190,120,2,701
8,RxJava,FlowableSerializeTest,15,9,10,5,0,0,0,479,867,30,91,12024,1066,2,8064
9,RxJava,SubscribeWithTest,2,0,0,0,0,0,0,21,121,10,33,1152,107,2,796
10,RxJava,ListCompositeDisposableTest,29,0,2,11,0,0,0,478,828,15,54,9733,1226,2,5589
11,RxJava,SchedulerMultiWorkerSupportTest,6,0,1,4,0,0,0,146,301,24,59,6143,484,2,2200
12,RxJava,FlowableSwitchIfEmptyTest,7,2,0,0,0,0,0,194,506,29,87,7809,755,2,3908
13,RxJava,MaybeIsEmptySingleTest,1,0,0,0,0,0,0,7,23,12,10,223,29,2,156
14,RxJava,SingleDoAfterTerminateTest,1,0,1,0,0,0,0,66,208,17,50,2297,234,2,1842
15,RxJava,MaybeIgnoreElementTest,0,0,0,0,0,0,0,20,63,13,23,737,90,2,561
16,RxJava,SafeSubscriberTest,72,7,27,0,0,0,0,1372,2708,14,163,33122,3861,2,23199
17,RxJava,DisposeOnCancelTest,5,0,0,0,0,0,0,22,45,8,18,344,53,2,301
18,RxJava,TestResourceMaybeObserver,0,0,0,0,0,0,0,28,51,7,18,454,33,4,403
19,RxJava,BehaviorProcessorTest,71,4,5,14,0,0,0,1358,2649,19,191,28985,3650,4,17986
20,RxJava,QueueSubscriptionTest,1,0,0,0,0,0,0,34,105,8,29,1095,64,2,1133
21,RxJava,ArrayCompositeDisposableTest,13,0,0,3,0,0,0,133,248,15,31,2721,341,2,1601
22,RxJava,BlockingFlowableMostRecentTest,21,0,2,2,0,0,0,142,298,11,56,2715,376,2,1961
23,RxJava,HorrorMovie,0,0,0,0,0,0,0,0,2,3,2,8,0,3,36
24,RxJava,FlowableLiftTest,2,0,1,0,0,0,0,27,58,16,30,897,94,2,522
25,RxJava,TestDisposableObserver,0,0,0,0,0,0,0,16,48,7,18,451,23,4,396
26,RxJava,BadObservableSubscribe,0,0,1,0,0,0,0,12,30,9,19,315,27,4,355
27,RxJava,FlowableInternalHelperTest,0,0,0,0,0,0,0,6,19,9,9,149,18,2,224
28,RxJava,A,0,0,0,0,0,0,0,0,3,3,3,10,0,2,17
29,RxJava,B,0,0,0,0,0,0,0,0,2,3,2,5,0,2,15
30,RxJava,CoolRating,0,0,0,0,0,0,0,0,2,3,2,8,0,3,36
31,RxJava,ObservableDebounceTest,3,1,1,0,0,0,0,584,1469,20,139,18883,2097,2,10861
32,RxJava,CompositeExceptionTest,36,2,2,2,0,0,0,480,953,13,96,9543,1277,2,8797
33,RxJava,CompletionThread,0,3,1,1,0,0,0,47,74,14,22,862,85,3,828
34,RxJava,FlowableTakeTest,11,0,6,4,0,0,0,611,1431,20,168,17787,1992,2,10294
35,RxJava,CompletablePeekTest,0,0,1,0,0,0,0,23,51,17,28,612,68,2,484
36,RxJava,MaybeHideTest,2,0,0,0,0,0,0,35,129,12,36,1487,173,2,932
37,RxJava,MaybeSwitchIfEmptyTest,2,0,0,1,0,0,0,76,266,14,48,2832,336,2,1803
38,RxJava,FlowableMapNotificationTest,0,0,0,0,0,0,0,164,440,16,63,6181,673,2,3149
39,RxJava,ObservableDematerializeTest,0,0,1,0,0,0,0,217,544,19,66,5537,747,2,3854
40,RxJava,SingleTest,16,6,6,1,0,0,0,656,1530,23,173,22767,2312,2,11744
41,RxJava,LambdaSubscriberTest,28,0,2,0,0,0,0,341,907,16,84,13863,1505,2,7183
42,RxJava,TestASynchronous1sDelayedObservable,0,0,1,0,0,0,0,26,46,16,21,656,56,2,391
43,RxJava,FlowableSubscriberTest,30,1,8,0,0,0,0,710,1687,20,152,26876,2852,2,13572
44,RxJava,NewLinesBeforeAnnotation,0,10,1,7,0,0,0,212,341,27,62,6392,460,3,2285
45,RxJava,CachedThreadSchedulerTest,7,0,2,0,0,0,0,116,281,16,67,2882,354,3,2152
46,RxJava,Mutable,0,0,0,0,0,0,0,0,2,4,2,11,0,2,23
47,RxJava,DefaultSubscriberTest,1,0,0,0,0,0,0,22,65,8,26,614,51,2,513
48,RxJava,ObservableFinallyTest,0,0,1,0,0,0,0,26,68,10,29,609,69,2,597
49,RxJava,FlowableFromSourceTest,2,0,5,0,0,0,0,1095,1824,14,105,17399,2224,2,12613
50,RxJava,MaybeFlatMapObservableTest,10,0,0,0,0,0,0,68,162,15,38,1616,219,2,1194
51,RxJava,ObservableAmbTest,10,2,2,4,0,0,0,413,1094,21,148,12569,1494,2,8142
52,RxJava,CompletableAmbTest,20,2,3,3,0,0,0,314,631,16,86,6851,875,2,4828
53,RxJava,BadObservableConnect2,0,0,1,0,0,0,0,22,47,9,23,451,42,4,508
54,RxJava,FlowableFilterTest,2,0,5,0,0,0,0,574,1556,22,132,20968,2167,2,11227
55,RxJava,CompletableAwaitTest,9,2,2,0,0,0,0,65,149,13,31,1387,173,2,1212
56,RxJava,OnNextThread,0,2,0,1,0,0,0,51,121,11,20,1132,101,3,1124
57,RxJava,ObservableTakeTest,8,0,5,3,0,0,0,496,1168,19,148,13634,1585,2,8247
58,RxJava,ObservableSkipLastTimedTest,0,0,0,1,0,0,0,262,680,14,73,6670,865,2,4345
59,RxJava,TestASynchronous1sDelayedFlowable,0,0,1,0,0,0,0,26,45,16,20,656,56,2,399
60,RxJava,ObserverImpl,0,0,0,0,0,0,0,9,39,7,14,299,22,2,289
61,RxJava,FlowableWindowWithFlowableTest,27,12,7,18,0,0,0,1576,3623,32,171,60867,6058,2,28112
62,RxJava,TestASynchronousObservable,0,0,0,0,0,0,0,17,36,13,17,410,38,2,309
63,RxJava,TestDisposableSubscriber,0,0,0,0,0,0,0,16,49,7,19,457,24,4,395
64,RxJava,ObservableOnErrorResumeNextViaFunctionTest,4,4,4,1,0,0,0,385,950,20,94,13205,1418,2,7463
65,RxJava,TestLocalObserver,0,0,0,0,0,0,0,9,44,8,15,404,22,4,384
66,RxJava,ThrowingQueueSubscription,0,0,0,0,0,0,0,18,59,7,25,573,32,2,613
67,RxJava,SubjectTest,4,0,2,0,0,0,0,40,65,10,18,635,86,2,636
68,RxJava,MulticastProcessorTest,47,0,3,11,0,0,0,1016,1950,15,122,22201,2778,2,12589
69,RxJava,BadFlowable,0,0,0,0,0,0,0,3,11,7,8,106,5,4,155
70,RxJava,BasicFuseableConditionalSubscriberTest,2,0,0,0,0,0,0,34,92,11,30,1474,172,2,837
71,RxJava,ExceptionHelperTest,1,0,0,1,0,0,0,26,64,15,25,779,87,2,567
72,RxJava,ObservableTimeIntervalTest,0,0,2,0,0,0,0,112,319,16,61,3989,425,2,2498
73,RxJava,FlowableTakeLastTest,4,1,1,0,0,0,0,274,832,15,103,9551,1157,2,5679
74,RxJava,ObservableMergeTests,10,0,0,0,0,0,2,89,272,15,30,2785,397,2,1863
75,RxJava,ObservableDeferTest,0,0,0,0,0,0,0,92,240,9,38,2115,305,2,1547
76,RxJava,SingleCreateTest,13,0,5,0,0,0,0,245,623,20,75,10680,995,2,4905
77,RxJava,FlowableFlatMapCompletableTest,14,1,1,6,0,0,0,360,1415,23,121,21450,2029,2,11091
78,RxJava,BlockingObservableLatestTest,14,0,3,5,0,0,0,264,613,12,72,5787,790,2,4112
79,RxJava,ConverterTest,10,0,5,0,0,0,0,185,610,15,61,8331,809,2,4952
80,RxJava,ObservableNullTests,2,1,1,2,0,0,0,1686,6820,17,547,146979,8548,3,60755
81,RxJava,ErrorCompletable,1,0,0,0,0,0,0,10,33,13,20,434,20,4,581
82,RxJava,PublishProcessorTest,32,1,1,10,0,0,0,859,1653,19,157,18270,2344,4,12035
83,RxJava,SubscriptionCancelThrows,0,0,0,0,0,0,0,3,11,7,7,101,6,2,156
84,RxJava,FlowableThrottleLatestTest,0,2,0,0,0,0,0,286,676,14,57,6571,842,2,4058
85,RxJava,FlowableConcatWithCompletableTest,4,0,1,0,0,0,0,104,253,18,56,3313,362,2,1841
86,RxJava,FlowableBackpressureTests,52,16,2,11,0,0,0,1026,2497,23,167,30176,3375,2,17246
87,RxJava,ObservableBufferUntilSubscriberTest,3,3,0,2,0,0,0,82,192,25,58,3429,298,2,1383
88,RxJava,CompletableFromCallableTest,6,0,1,0,0,0,0,151,299,16,69,3556,437,2,2658
89,RxJava,ObservableMergeWithMaybeTest,6,3,2,1,0,0,0,260,624,19,80,7852,886,2,4151
90,RxJava,BadObservableConnect,0,0,0,0,0,0,0,6,24,7,15,218,14,4,286
91,RxJava,FlowableOnErrorReturnTest,4,2,4,1,0,0,0,304,670,19,95,8529,970,2,4844
92,RxJava,SlowInner,0,0,0,0,0,0,0,22,86,9,22,703,62,3,667
93,RxJava,ObservableFlatMapMaybeTest,6,4,2,1,0,0,0,363,1170,22,113,18629,1761,2,8521
94,RxJava,AsyncSubjectTest,44,1,3,3,0,0,0,775,1453,17,131,14735,1972,4,9844
95,RxJava,FlowableToSingleTest,1,0,0,0,0,0,0,90,208,14,35,1923,288,2,1778
96,RxJava,HalfSerializerSubscriberTest,1,4,0,2,0,0,0,275,551,16,54,7575,866,2,4055
97,RxJava,FlowableIntervalRangeTest,4,0,2,0,0,0,0,60,313,11,39,2861,317,2,1996
98,RxJava,SlowScheduler,0,0,0,0,0,0,0,38,133,10,27,1225,98,3,1041
99,RxJava,EmptyComponentTest,3,0,1,0,0,0,0,65,94,10,32,1062,128,2,610
100,RxJava,BadToStringObserver,4,0,0,0,0,0,1,27,69,8,23,517,62,2,544
101,RxJava,InnerQueuedSubscriberTest,1,0,0,0,0,0,0,34,93,12,29,1377,168,2,795
102,RxJava,MaybeZipIterableTest,3,1,1,1,0,0,0,141,557,16,74,7512,731,2,4128
103,RxJava,OneCallablePublisher,0,0,0,0,0,0,0,13,32,9,14,299,29,2,310
104,RxJava,ObservableTimeoutWithSelectorTest,11,10,10,6,0,0,0,1022,2307,27,150,33898,3577,2,16998
105,RxJava,ResourceSingleObserverTest,35,0,1,0,0,0,0,231,433,11,58,3918,542,2,3007
106,RxJava,Cylon,0,0,0,0,0,0,0,0,1,2,1,6,0,2,24
107,RxJava,CompletableConcatTest,3,1,4,5,0,0,0,294,676,22,117,9848,982,2,4963
108,RxJava,BackpressureHelperTest,23,0,2,2,0,0,0,170,455,14,44,4261,555,2,3330
109,RxJava,ObservableThrottleFirstTest,0,0,1,0,0,0,0,240,559,18,77,6387,696,2,4072
110,RxJava,FlowableBufferTest,71,19,7,3,0,0,0,2987,8493,22,340,112227,11734,2,59973
111,RxJava,ExceptionsNullTest,0,0,0,0,0,0,0,0,61,4,13,466,10,3,1212
112,RxJava,TestResourceSubscriber,0,0,0,0,0,0,0,27,57,7,22,516,34,4,440
113,RxJava,MaybeFlatMapIterableFlowableTest,3,2,0,5,0,0,0,385,1386,25,122,24695,2144,2,9651
114,RxJava,AsyncProcessorTest,44,1,3,3,0,0,0,775,1452,17,129,14744,1973,4,10268
115,RxJava,EmptyCompletableObserverTest,1,0,0,0,0,0,0,7,13,8,7,106,15,2,189
116,RxJava,ParallelPeekTest,10,0,5,5,0,0,0,151,350,18,59,4764,493,2,2700
117,RxJava,FlowableLastTest,4,0,0,0,0,0,0,356,1009,15,86,11073,1395,2,7389
118,RxJava,QueueDrainObserverTest,0,0,0,2,0,0,0,150,361,14,44,4611,562,2,2574
119,RxJava,SequentialDisposableTest,4,0,2,5,0,0,0,286,441,18,60,4761,638,2,3808
120,RxJava,BehaviorSubjectTest,65,3,3,8,0,0,0,1212,2385,19,176,25853,3278,4,15496
121,RxJava,TextualAorAn,0,23,1,4,0,0,0,238,609,21,55,8720,753,3,4239
122,RxJava,RetryStatement,0,1,1,1,0,0,0,51,91,16,20,1014,106,3,609
123,RxJava,DisposablesTest,9,1,4,1,0,0,0,167,297,16,72,3418,427,2,2437
124,RxJava,BlockingObservableToFutureTest,10,0,3,0,0,0,0,134,290,15,55,2941,386,2,2221
125,RxJava,MaybeFlattenTest,0,0,0,0,0,0,0,39,194,18,28,3394,317,2,1523
126,RxJava,Person,0,0,0,0,0,0,0,7,18,7,4,132,13,2,92
127,RxJava,MaybeToFlowableTest,1,0,0,0,0,0,0,13,47,12,19,635,73,2,382
128,RxJava,ObservableSkipWhileTest,0,1,0,2,0,0,0,186,559,13,61,5173,650,2,3171
129,RxJava,ObservableConcatMapEagerTest,23,3,3,5,0,0,0,1086,2871,24,201,38548,3987,2,20761
130,RxJava,ParallelReduceTest,4,1,1,1,0,0,0,119,386,19,51,7507,658,2,2783
131,RxJava,SingleToObservableTest,0,0,0,0,0,0,0,9,38,12,19,511,56,2,389
132,RxJava,ObservableCombineLatestTests,1,0,0,0,0,0,0,53,211,14,45,2562,248,2,1852
133,RxJava,SingleFlatMapCompletableTest,0,0,0,0,0,0,0,6,27,13,16,368,38,2,252
134,RxJava,FlowableOnExceptionResumeNextViaFlowableTest,5,7,7,1,0,0,0,447,936,24,82,10332,1251,2,6349
135,RxJava,ParallelDoOnNextTryTest,4,14,2,4,0,0,0,249,928,20,78,14048,1210,2,6812
136,RxJava,DisposableMaybeObserverTest,15,0,1,0,0,0,0,107,227,11,51,2179,256,2,1458
137,RxJava,ObservableElementAtTest,8,0,3,0,0,0,0,200,699,19,88,8372,826,2,5548
138,RxJava,ObservableDoOnSubscribeTest,9,0,1,0,0,0,0,148,311,18,56,4638,492,2,2495
139,RxJava,FlowableReduceTest,7,0,3,0,0,0,0,434,1457,23,138,21679,2081,2,10375
140,RxJava,FlowableDistinctUntilChangedTest,1,1,1,0,0,0,0,450,1584,18,133,19220,2039,2,9888
141,RxJava,SingleCacheTest,0,0,0,0,0,0,0,146,293,12,39,2879,431,2,1925
142,RxJava,CompletableLiftTest,0,0,1,0,0,0,0,20,38,16,22,538,58,2,380
143,RxJava,SubscriberResourceWrapperTest,9,0,0,0,0,0,0,96,207,20,43,2664,293,2,1610
144,RxJava,ObservableReplayTest,60,5,2,16,0,0,0,2350,5249,23,286,59337,7212,2,35133
145,RxJava,FlowableGenerateTest,1,0,3,2,0,0,0,186,633,18,72,11531,1049,2,4665
146,RxJava,PublishSubjectTest,24,0,0,6,0,0,0,804,1540,19,142,17118,2202,4,10997
147,RxJava,XFlatMapTest,18,1,19,0,0,0,0,737,1394,19,82,20526,2024,2,10171
148,RxJava,FlowableThrottleWithTimeoutTests,0,0,0,0,0,0,0,76,163,10,31,1448,196,2,1037
149,RxJava,BoundedSubscriberTest,28,0,2,0,0,0,0,350,940,16,83,14567,1575,2,7617
150,RxJava,PublishAsyncEmitter,0,0,0,0,0,0,0,43,115,12,32,1343,132,2,945
151,RxJava,FlowableRepeatTest,9,0,2,0,0,0,0,343,1024,20,140,12686,1368,2,7166
152,RxJava,ObservableDoOnEachTest,18,2,6,2,0,0,0,644,1824,20,140,25016,2606,2,13241
153,RxJava,BadFlowableDispose,0,0,1,0,0,0,0,18,43,9,23,432,38,4,492
154,RxJava,Counter,0,0,0,0,0,0,0,9,27,7,12,239,14,2,277
155,RxJava,CompletableSubscribeOnTest,1,0,1,0,0,0,0,35,84,13,41,937,114,2,735
156,RxJava,NeverCompletable,0,0,0,0,0,0,0,3,12,5,8,97,4,3,175
157,RxJava,SingleMergeTest,1,0,1,0,0,0,0,53,316,12,40,2993,342,2,1975
158,RxJava,MaybeConcatArrayTest,2,0,1,2,0,0,0,163,434,17,64,5123,568,2,2830
159,RxJava,UnicastProcessorTest,21,2,3,3,0,0,0,517,1035,16,124,10915,1458,4,7791
160,RxJava,CompletableAndThenTest,1,0,1,2,0,0,0,58,201,23,54,2690,246,2,1528
161,RxJava,TestObserverTest,58,0,68,1,0,0,0,2117,3747,15,238,41954,5490,2,29652
162,RxJava,MaybeFlatMapNotificationTest,0,0,0,0,0,0,0,34,290,14,42,3100,338,2,1911
163,RxJava,NeverMaybe,0,0,0,0,0,0,0,3,14,7,9,127,4,4,173
164,RxJava,MaybeEmptyTest,2,0,0,0,0,0,0,10,28,11,13,248,36,2,194
165,RxJava,FlowableFlatMapMaybeTest,6,4,2,2,0,0,0,444,1680,22,135,26270,2427,2,11830
166,RxJava,ObservableFromCallableTest,3,0,2,0,0,0,0,276,649,21,94,8867,985,2,5343
167,RxJava,FlowableNotificationTest,8,0,0,0,0,0,8,83,213,9,28,1985,297,2,2567
168,RxJava,FlowablePublishTest,26,6,7,24,0,0,0,1561,3524,22,261,52933,5566,2,25180
169,RxJava,FlowableAnyTest,4,0,2,0,0,0,0,776,1955,19,122,22275,2810,2,13487
170,RxJava,FunctionsTest,9,0,3,2,0,0,0,210,725,12,105,9795,940,2,5980
171,RxJava,FlowableMapTest,3,2,3,0,0,0,0,544,1694,22,159,25021,2481,2,12275
172,RxJava,ReplaySubjectTest,133,2,4,10,0,0,0,1807,3528,17,216,35309,4688,4,23044
173,RxJava,SingleFlatMapMaybeTest,0,2,0,0,0,0,0,80,329,18,42,5641,510,2,2740
174,RxJava,FlowableGroupByTest,57,19,10,4,0,0,0,2085,5927,27,351,98352,9011,2,45037
175,RxJava,FlowableForEachTest,2,0,0,0,0,0,0,35,127,13,29,1817,206,2,875
176,RxJava,AbstractDirectTaskTest,28,0,0,1,0,0,0,276,517,15,41,6247,813,2,4351
177,RxJava,ObservableLiftTest,2,0,1,0,0,0,0,16,42,16,22,722,69,2,370
178,RxJava,MaybeDoAfterSuccessTest,6,0,1,0,0,0,0,84,292,17,60,3143,314,2,2212
179,RxJava,FlowableIgnoreElementsTest,22,0,4,0,0,0,0,305,764,17,114,9793,1108,2,5958
180,RxJava,PublicFinalMethods,1,3,0,1,0,0,0,34,81,17,25,919,89,3,583
181,RxJava,ObservableSubscriberTest,11,1,4,0,0,0,0,173,418,18,80,6079,659,2,3560
182,RxJava,CustomDriftScheduler,0,0,0,0,0,0,0,25,99,13,22,1241,128,3,739
183,RxJava,ObservableUnsubscribeOnTest,12,0,4,0,0,0,1,264,567,19,101,7538,749,2,4819
184,RxJava,DisposeAction,0,0,0,0,0,0,0,3,11,6,7,85,5,2,111
185,RxJava,FlowableAmbTest,24,2,2,19,0,0,0,839,2160,21,203,27144,3003,2,14749
186,RxJava,BadObservableSubscribe2,0,1,1,0,0,0,0,20,41,9,21,427,41,4,429
187,RxJava,ObservableSwitchMapMaybeTest,19,11,4,4,0,0,0,710,1548,22,110,23919,2470,2,11446
188,RxJava,ObservableSerializeTest,15,9,9,5,0,0,0,475,868,29,92,11736,1061,2,7976
189,RxJava,TestNotificationSubscriber,0,0,0,0,0,0,0,9,44,8,15,404,22,4,395
190,RxJava,TestErrorFlowable,0,2,0,1,0,0,0,39,53,12,20,558,62,2,499
191,RxJava,ThreadSubscription,0,0,0,0,0,0,0,23,49,8,21,408,37,3,499
192,RxJava,ScalarSubscriptionTest,0,0,1,0,0,0,0,33,63,10,20,692,103,2,561
193,RxJava,SingleMiscTest,2,5,0,0,0,0,0,171,629,20,84,8097,793,2,4019
194,RxJava,CompletableAndThenObservableTest,20,0,0,0,0,0,0,127,239,8,30,1980,313,2,1652
195,RxJava,TestObservableFunc,0,0,1,1,0,0,0,46,86,18,25,1170,102,2,691
196,RxJava,FlowableElementAtTest,8,0,3,0,0,0,0,237,862,19,96,10628,1059,2,6686
197,RxJava,TestSynchronousObservable,0,0,0,0,0,0,0,10,22,7,12,172,17,2,230
198,RxJava,FlowableDistinctTest,2,1,1,0,0,0,0,254,778,18,94,8036,944,2,4778
199,RxJava,FlowableMaterializeTest,25,1,3,1,0,0,0,401,916,20,116,9695,1185,2,6705
200,RxJava,FlowableDelaySubscriptionOtherTest,24,0,1,1,0,0,0,436,885,19,94,9970,1255,2,7153
201,RxJava,FlowableDoAfterNextTest,1,0,0,0,0,0,0,20,48,15,23,632,70,2,403
202,RxJava,ImmediateThinSchedulerTest,3,0,0,0,0,0,0,44,141,13,28,1257,154,2,1182
203,RxJava,FlowablePublishMulticastTest,7,0,1,1,0,0,0,221,455,14,78,5400,736,2,3459
204,RxJava,ObservableSwitchIfEmptyTest,5,0,0,0,0,0,0,66,196,18,54,2953,307,2,1612
205,RxJava,SingleFlatMapObservableTest,20,0,0,0,0,0,0,133,290,15,41,2722,392,2,2075
206,RxJava,MaybeJustTest,2,0,0,0,0,0,0,10,36,12,15,309,41,2,244
207,RxJava,SingleTakeUntilTest,65,1,2,1,0,0,0,772,1641,16,98,15759,2268,2,12931
208,RxJava,BadToString,0,1,0,0,0,0,0,14,18,9,6,186,19,2,308
209,RxJava,ObservableAutoConnectTest,1,0,0,0,0,0,0,10,21,7,11,160,25,2,187
210,RxJava,TestResourceSingleObserver,0,0,0,0,0,0,0,21,43,7,16,373,26,4,339
211,RxJava,DisposableCompletableObserverTest,13,0,1,0,0,0,0,98,185,11,43,1680,211,2,1292
212,RxJava,FlowableToCompletableTest,1,0,0,0,0,0,0,111,213,14,37,1932,293,2,1914
213,RxJava,ScheduledDirectPeriodicTaskTest,0,0,1,0,0,0,0,23,34,16,17,465,55,2,368
214,RxJava,MaybeTimeoutTest,24,1,1,2,0,0,0,324,930,16,80,9287,1161,2,6189
215,RxJava,ObservableObserveOnTest,17,7,3,1,0,0,0,859,2300,22,228,27356,3124,2,16776
216,RxJava,MaybeToCompletableTest,1,0,0,0,0,0,0,19,76,12,27,807,93,2,631
217,RxJava,FlowableCovarianceTest,1,1,0,1,0,0,0,162,563,23,92,9721,833,3,4561
218,RxJava,EmptyDisposableTest,5,0,0,0,0,0,0,20,62,8,19,435,61,2,500
219,RxJava,FlowableFirstTest,0,0,0,0,0,0,0,675,1897,16,101,18833,2375,2,12301
220,RxJava,FlowableConcatMapSingleTest,7,0,2,2,0,0,0,263,774,22,113,11333,1149,2,5722
221,RxJava,CompletableTimeoutTest,3,1,2,1,0,0,0,137,359,17,83,4133,484,2,2654
222,RxJava,CompletableCacheTest,11,0,0,2,0,0,0,292,517,14,65,6030,780,2,3455
223,RxJava,MaybeSwitchIfEmptySingleTest,3,0,0,1,0,0,0,70,248,14,49,2709,318,2,1702
224,RxJava,ObservableToSortedListTest,2,0,1,0,0,0,0,141,566,15,64,6032,717,2,3404
225,RxJava,FlowableNullTests,5,1,3,2,0,0,0,1888,7332,17,600,162557,9105,3,65425
226,RxJava,FlowableDoOnTest,10,0,1,0,0,0,0,90,199,15,39,2474,300,2,1417
227,RxJava,MaybeFilterSingleTest,0,0,0,0,0,0,0,12,63,13,25,738,82,2,535
228,RxJava,ResourceObserverTest,35,0,1,0,0,0,0,234,449,11,62,4102,552,2,2967
229,RxJava,TestResourceObserver,0,0,0,0,0,0,0,24,52,7,19,477,29,4,406
230,RxJava,ObservableMergeDelayErrorTest,6,4,6,3,0,0,0,790,2192,20,135,23574,2783,2,16002
231,RxJava,FlowableRetryTest,19,17,5,10,0,0,0,1314,3148,25,268,44988,4515,2,22936
232,RxJava,MaybeTest,148,5,11,3,0,0,0,2705,9037,20,499,129669,11351,2,60787
233,RxJava,SingleSubscribeTest,21,1,5,0,0,0,0,270,641,15,76,8077,948,2,4593
234,RxJava,FlowableSkipLastTest,1,0,0,0,0,0,0,150,454,12,63,3981,562,2,2979
235,RxJava,TransformerTest,10,0,5,0,0,0,0,132,364,15,49,5695,599,2,3110
236,RxJava,CompletableUnsafeTest,3,1,1,0,0,0,0,53,125,16,38,1587,163,2,1249
237,RxJava,ParallelRunOnTest,2,0,1,5,0,0,0,231,702,19,87,8871,952,2,4912
238,RxJava,ObservableOnErrorReturnTest,4,2,4,1,0,0,0,245,555,19,84,7077,803,2,4092
239,RxJava,EmptyQS,0,0,0,0,0,0,0,9,33,5,15,319,12,4,376
240,RxJava,ObservableConcatTest,24,12,14,5,0,0,0,1372,3681,25,226,44900,5048,2,25871
241,RxJava,ObservableFuseableTest,0,0,0,0,0,0,0,18,327,16,29,4074,341,2,1880
242,RxJava,TestObservable,0,0,0,0,0,0,0,19,53,13,24,627,56,3,666
243,RxJava,MaybeFlatMapIterableObservableTest,3,0,0,0,0,0,0,173,852,23,92,14995,1267,2,6018
244,RxJava,CompletableToFlowableTest,0,0,0,0,0,0,0,6,21,12,13,335,36,2,256
245,RxJava,FlowableSwitchMapSingleTest,17,9,4,4,0,0,0,625,1349,22,109,21089,2160,2,10098
246,RxJava,NewThreadSchedulerTest,6,0,0,0,0,0,0,68,162,13,41,1514,198,3,1458
247,RxJava,FlowableAsObservableTest,2,0,0,0,0,0,0,59,122,9,27,1041,166,2,859
248,RxJava,BufferUntilSubscriberTest,3,3,0,2,0,0,0,82,192,25,59,3429,298,2,1369
249,RxJava,ObservableCombineLatestTest,11,11,4,7,0,0,0,1484,4073,21,249,54744,6024,2,27060
250,RxJava,JavadocFindUnescapedAngleBrackets,0,9,1,7,0,0,0,210,313,24,52,5017,434,2,1653
251,RxJava,MaybeDelayOtherTest,19,0,0,0,0,0,0,241,552,16,70,5478,745,2,3915
252,RxJava,ObservableFilterTest,0,0,0,0,0,0,0,91,314,15,65,3599,433,2,2123
253,RxJava,FlowableWindowWithTimeTest,24,5,5,2,0,0,1,962,2761,22,192,32772,3749,2,18920
254,RxJava,SingleUsingTest,9,0,4,2,0,0,0,267,853,25,91,11923,1091,2,6577
255,RxJava,FlowableOnBackpressureErrorTest,0,0,0,0,0,0,0,18,84,14,26,1154,124,2,768
256,RxJava,SingleZipTest,2,0,0,0,0,0,0,86,648,16,53,10133,919,2,3536
257,RxJava,MaybeCacheTest,15,0,1,2,0,0,0,312,661,14,82,7218,989,2,4441
258,RxJava,BadFlowableSubscribe,0,0,1,0,0,0,0,12,30,9,19,315,27,4,355
259,RxJava,IterableIteratorNextThrows,0,0,0,0,0,0,0,9,24,12,10,363,37,3,353
260,RxJava,ComputationSchedulerTests,14,2,4,0,0,0,1,231,546,16,84,6684,739,3,3947
261,RxJava,InstantPeriodicTaskTest,18,0,8,2,0,0,0,338,546,18,52,7641,838,2,4274
262,RxJava,ObservableFlattenIterableTest,1,0,0,0,0,0,0,43,154,25,41,3397,269,2,1307
263,RxJava,CompletableOnErrorXTest,1,0,0,0,0,0,0,20,52,15,19,639,70,2,422
264,RxJava,BackpressureEnumTest,6,0,0,0,0,0,0,21,52,8,13,363,51,2,480
265,RxJava,CompletableFromObservableTest,0,0,0,0,0,0,0,12,55,11,17,437,49,2,535
266,RxJava,SerialDisposableTests,9,0,2,5,0,0,0,311,487,18,68,5125,695,2,4035
267,RxJava,MaybeFromRunnableTest,11,0,2,1,0,0,0,159,353,21,75,4205,492,2,2636
268,RxJava,BasicFuseableObserverTest,0,0,0,0,0,0,0,38,97,11,24,1432,166,2,886
269,RxJava,FlowableDoOnLifecycleTest,5,0,3,0,0,0,0,123,317,19,59,5005,491,2,2547
270,RxJava,TestFlowableFunc,0,0,1,1,0,0,0,46,85,18,24,1170,102,2,685
271,RxJava,TrampolineSchedulerInternalTest,15,0,4,0,0,0,0,226,422,22,49,5255,600,2,2744
272,RxJava,ActionMovie,0,0,0,0,0,0,0,0,2,3,2,8,0,3,36
273,RxJava,MaybeCreateTest,5,0,4,0,0,0,0,168,316,22,50,5144,463,2,2377
