Nº,Project,TestClassName,No. Tests,Vocabulary,Non Whithe Characters,No. Method Invoctions,AST size,Max Depth,Sum Depths,Avg Depth,Branching,Dexterity,No. Expressions,No. Try,No. Catch,No. Loop,No. Conditions,No. Else,Bad API,Junit,Hamcrest,Mockito
844,RxJava,PerfConsumer,0,27,585,5,39,7,259,6.641025641025641,6.564102564102564,22,69,0,0,0,0,0,0,0,0,0
845,RxJava,FlowableCacheTest,26,156,9659,259,2114,22,5542,2.621570482497635,1.3103122043519395,34,1485,0,0,12,1,0,0,26,0,0
846,RxJava,CacheState,0,55,2883,24,369,13,1217,3.2981029810298104,2.002710027100271,43,303,0,0,6,10,1,0,0,0,0
847,RxJava,DoOnEachConditionalSubscriber,0,41,2093,33,356,17,1188,3.337078651685393,1.3398876404494382,30,264,11,10,0,8,1,0,3,0,0
848,RxJava,InputForMergeN,0,20,373,2,45,10,218,4.844444444444444,2.2666666666666666,28,55,0,0,1,0,0,0,0,0,0
849,RxJava,SchedulerWhenTest,12,114,7155,161,1356,20,3632,2.678466076696165,1.5081120943952802,34,915,1,1,1,0,0,0,16,0,0
850,RxJava,SingleFlatMapIterableObservableTest,17,91,5814,127,1217,23,4053,3.3303204601479046,1.170090386195563,30,819,0,0,0,0,0,0,3,0,0
851,RxJava,MaybeRetryTest,4,33,2195,35,343,18,1175,3.425655976676385,0.9154518950437318,27,226,0,0,0,4,0,0,4,0,0
852,RxJava,DefaultIfEmptyTckTest,0,11,182,2,12,8,74,6.166666666666667,3.1666666666666665,14,20,0,0,0,0,0,0,0,0,0
853,RxJava,Replay,0,15,417,2,25,7,208,8.32,4.6,19,47,0,0,0,0,0,0,0,0,0
854,RxJava,BufferBoundaryObserver,0,18,516,5,55,8,264,4.8,3.1272727272727274,22,66,0,0,0,3,0,0,0,0,0
855,RxJava,Value,0,6,109,0,8,6,53,6.625,4.125,13,13,0,0,0,0,0,0,0,0,0
856,RxJava,WindowExactUnboundedObserver,0,63,2308,38,400,15,1293,3.2325,1.9675,34,322,0,0,2,16,3,0,0,0,0
857,RxJava,ParallelReduceFullInnerSubscriber,0,36,1013,11,122,14,534,4.377049180327869,2.581967213114754,30,129,1,1,0,4,1,0,0,0,0
858,RxJava,FlatMapPublisherSubscriber,0,44,1343,14,128,10,631,4.9296875,3.8671875,28,156,1,1,0,1,0,0,0,0,0
859,RxJava,ParallelMapTry,0,57,4560,47,572,17,2297,4.015734265734266,2.312937062937063,47,529,4,4,3,12,1,0,0,0,0
860,RxJava,ParamValidationCheckerTest,6,251,43287,438,1408,27,18720,13.295454545454545,44.63068181818182,57,6604,3,2,11,32,4,0,0,0,0
861,RxJava,ObservableNever,0,11,250,1,9,7,101,11.222222222222221,6.444444444444445,17,21,0,0,0,0,0,0,0,0,0
862,RxJava,SingleDoAfterSuccessTest,8,58,1907,45,267,17,1066,3.99250936329588,1.5692883895131087,29,247,1,0,0,0,0,0,4,0,0
863,RxJava,ObservableConcatTests,7,47,3919,119,869,14,1877,2.1599539700805526,1.2669735327963176,20,617,0,0,0,0,0,0,37,0,0
864,RxJava,ObservableCreate,0,70,3923,55,511,14,1901,3.720156555772994,2.1898238747553815,38,452,3,1,2,22,1,0,0,0,0
865,RxJava,ScalarXMapZHelperTest,1,6,119,1,8,8,46,5.75,2,11,9,0,0,0,0,0,0,0,0,0
866,RxJava,ReferenceDisposable,0,15,584,5,41,10,199,4.853658536585366,3.2195121951219514,27,49,0,0,0,2,0,0,0,0,0
867,RxJava,GeneratorDisposable,0,36,1724,16,248,14,966,3.8951612903225805,2.0524193548387095,31,212,2,2,1,9,3,0,0,0,0
868,RxJava,FlowableGroupJoinTest,19,152,14746,359,3174,21,8350,2.6307498424700695,1.2605545053560177,36,2129,3,0,2,4,2,0,4,0,0
869,RxJava,DisposeTask,0,29,734,10,80,12,343,4.2875,2.1375,21,90,0,0,0,2,1,0,0,0,0
870,RxJava,ExceptionHelper,0,53,2567,14,248,13,891,3.592741935483871,1.7983870967741935,39,204,0,0,3,8,2,0,0,0,0
871,RxJava,ObservableMergeMaxConcurrentTest,11,102,6016,129,1309,16,3283,2.5080213903743314,1.1902215431627197,38,923,0,0,20,3,0,0,9,0,0
872,RxJava,ErrorNotification,0,14,480,2,44,10,207,4.704545454545454,2.9318181818181817,30,50,0,0,0,1,0,0,0,0,0
873,RxJava,TrampolineSchedulerTest,3,84,3134,62,516,22,1572,3.046511627906977,1.2170542635658914,25,365,1,0,0,0,0,1,3,0,0
874,RxJava,AtomicAction,0,8,167,1,5,6,53,10.6,7.4,15,13,0,0,0,0,0,0,0,0,0
875,RxJava,SafeObserverTest,35,133,18864,311,3159,14,8450,2.674897119341564,1.5428933206710984,39,2189,24,13,0,6,0,0,73,0,0
876,RxJava,AppendOnlyLinkedArrayList,0,35,2750,4,359,12,1132,3.1532033426183843,1.4930362116991645,41,275,0,0,8,9,0,0,0,0,0
877,RxJava,AbstractObservableWithUpstream,0,8,520,0,10,7,117,11.7,8.4,20,28,0,0,0,0,0,0,0,0,0
878,RxJava,MaybeDefer,0,21,633,5,52,10,264,5.076923076923077,1.9423076923076923,27,52,1,1,0,0,0,0,0,0,0
879,RxJava,FlowableDematerialize,0,33,1250,20,138,12,635,4.601449275362318,2.5072463768115942,24,149,0,0,0,7,2,0,0,0,0
880,RxJava,DefaultSubscriber,0,32,2594,6,68,9,243,3.573529411764706,2.3823529411764706,29,102,0,0,0,2,0,0,0,0,0
881,RxJava,BasicFuseableSubscriberTest,1,23,494,7,97,11,232,2.3917525773195876,1.1546391752577319,19,59,0,0,0,0,0,0,2,0,0
882,RxJava,OnErrorReturnSubscriber,0,25,721,7,67,11,332,4.955223880597015,2.4925373134328357,29,76,1,1,0,0,0,0,0,0,0
883,RxJava,SamplerObserver,0,19,380,4,29,7,188,6.482758620689655,4.586206896551724,18,48,0,0,0,0,0,0,0,0,0
884,RxJava,ObservableSkipLast,0,32,1073,11,96,10,532,5.541666666666667,3.9270833333333335,26,128,0,0,0,2,0,0,0,0,0
885,RxJava,ShareTckTest,0,11,163,2,11,8,73,6.636363636363637,3.272727272727273,14,19,0,0,0,0,0,0,0,0,0
886,RxJava,ObservableIntervalRange,0,44,1541,13,182,11,686,3.769230769230769,2.6043956043956045,27,186,0,0,0,3,1,0,0,0,0
887,RxJava,FlowableDoOnEachTest,33,157,17859,397,3577,22,10679,2.9854626782219738,1.2736930388593795,38,2403,7,0,2,2,0,0,18,0,0
888,RxJava,MaybeSubscribeOnTest,1,10,132,4,14,8,53,3.7857142857142856,1.6428571428571428,10,16,0,0,0,0,0,0,0,0,0
889,RxJava,AsyncSubscription,0,19,497,6,45,8,241,5.355555555555555,2.6444444444444444,24,51,0,0,0,3,1,0,0,0,0
890,RxJava,NotificationTest,5,28,1333,40,190,10,494,2.6,1.0105263157894737,17,154,0,0,0,0,0,3,13,0,0
891,RxJava,ZipObserver,0,27,687,6,66,9,361,5.46969696969697,3.984848484848485,20,92,0,0,0,0,0,0,0,0,0
892,RxJava,ObservableWithLatestFromTest,26,127,12355,333,2516,18,6178,2.455484896661367,1.7726550079491257,36,1787,1,0,3,0,0,0,30,0,0
893,RxJava,MaybeMap,0,38,1410,12,136,11,680,5,3.014705882352941,31,165,1,1,0,1,0,0,0,0,0
894,RxJava,ObservableTakeLastTimed,0,60,2554,25,403,15,1409,3.496277915632754,2.424317617866005,38,359,0,0,2,11,2,0,0,0,0
895,RxJava,ObservableRetryTest,27,255,21227,526,4174,25,11553,2.7678485864877813,1.2093914710110205,48,2913,5,4,10,12,6,0,19,0,0
896,RxJava,AllObserver,0,31,981,13,132,9,510,3.8636363636363638,2.356060606060606,26,129,1,1,0,5,0,0,0,0,0
897,RxJava,FlowableFlattenIterable,0,107,5577,86,1082,17,3246,3,1.6423290203327172,42,821,6,6,3,39,3,0,0,0,0
898,RxJava,MapConditionalSubscriber,0,31,988,13,130,10,478,3.6769230769230767,1.8692307692307693,30,120,2,2,0,3,0,0,2,0,0
899,RxJava,CreateWorkerFunction,0,15,572,2,32,8,194,6.0625,3.40625,19,49,0,0,0,0,0,0,0,0,0
900,RxJava,ObservableMulticastTest,0,1,36,0,0,2,4,0,0,3,1,0,0,0,0,0,0,0,0,0
901,RxJava,CompletableOperatorSwap,0,14,351,3,51,13,183,3.588235294117647,1.588235294117647,14,35,0,0,0,0,0,0,0,0,0
902,RxJava,TestAsyncErrorFlowable,0,27,619,8,91,19,401,4.406593406593407,1.2527472527472527,30,72,1,1,1,1,1,0,0,0,0
903,RxJava,OtherSubscriber,0,26,509,5,40,7,192,4.8,3.525,20,56,0,0,0,0,0,0,0,0,0
904,RxJava,ObservableWindowBoundarySelector,0,95,5151,67,792,19,2947,3.720959595959596,2.0795454545454546,40,691,1,1,6,26,2,0,0,0,0
905,RxJava,ObservableMapTest,15,113,6605,159,1321,19,3687,2.7910673732021194,1.3028009084027252,33,946,0,0,0,2,1,0,1,0,0
906,RxJava,DoOnEachSubscriber,0,40,1899,30,326,17,1097,3.3650306748466257,1.322085889570552,30,243,10,9,0,7,1,0,2,0,0
907,RxJava,DisposableSubscriber,0,37,2854,10,52,8,258,4.961538461538462,4.3076923076923075,27,94,0,0,0,1,0,0,0,0,0
908,RxJava,OtherObserver,0,18,445,3,25,7,157,6.28,5.12,18,41,0,0,0,0,0,0,0,0,0
909,RxJava,EmptyLongConsumer,0,5,91,0,1,4,24,24,26,9,6,0,0,0,0,0,0,0,0,0
910,RxJava,ConcurrentObserverValidator,0,28,779,8,64,10,307,4.796875,2.4375,27,72,2,1,0,1,0,0,0,0,0
911,RxJava,ObservableThrottleLatest,0,56,2857,27,352,15,1274,3.6193181818181817,2.8267045454545454,35,334,0,0,2,11,1,0,0,0,0
912,RxJava,PublishTckTest,0,12,181,3,13,9,83,6.384615384615385,2.8461538461538463,14,21,0,0,0,0,0,0,0,0,0
913,RxJava,MaybeFromRunnable,0,26,655,11,79,13,314,3.9746835443037973,1.7468354430379747,29,73,1,1,0,3,1,0,0,0,0
914,RxJava,MergeTckTest,0,12,228,5,23,10,108,4.695652173913044,1.9565217391304348,14,32,0,0,0,0,0,0,0,0,0
915,RxJava,CollectObserver,0,27,917,11,114,9,506,4.43859649122807,3.026315789473684,24,126,1,1,0,4,0,0,0,0,0
916,RxJava,CompletableLift,0,20,475,4,54,9,198,3.6666666666666665,1.6666666666666667,20,49,1,2,0,0,0,0,0,0,0
917,RxJava,ObservableRange,0,38,1306,11,186,10,700,3.763440860215054,2.327956989247312,34,177,0,0,1,4,0,0,0,0,0
918,RxJava,ObservableHide,0,25,953,8,70,10,419,5.985714285714286,4.114285714285714,26,100,0,0,0,1,0,0,0,0,0
919,RxJava,EndConsumerHelper,0,30,4075,19,162,10,607,3.746913580246914,2.3333333333333335,25,167,0,0,0,8,0,0,0,0,0
920,RxJava,SingleInternalHelperTest,5,35,1031,24,137,10,420,3.065693430656934,1.0583941605839415,20,116,0,0,0,2,1,0,8,0,0
921,RxJava,MaybeFlatMapSingleElement,0,43,2173,16,161,11,993,6.167701863354037,3.7763975155279503,30,220,1,1,0,1,0,0,0,0,0
922,RxJava,MapMaybeObserver,0,31,953,11,112,10,481,4.294642857142857,2.6875,26,124,1,1,0,1,0,0,0,0,0
923,RxJava,SwitchMapInnerSubscriber,0,48,1534,14,254,13,835,3.2874015748031495,1.7598425196850394,31,217,0,0,0,9,1,0,0,0,0
924,RxJava,SubscriberResourceWrapper,0,32,1152,15,92,9,468,5.086956521739131,4.423913043478261,26,123,0,0,0,2,0,0,0,0,0
925,RxJava,SkipLastTimedObserver,0,51,1998,23,364,18,1172,3.21978021978022,2.0961538461538463,33,282,0,0,2,14,3,0,0,0,0
926,RxJava,SingleLiftTest,1,23,477,7,102,20,361,3.5392156862745097,1.1372549019607843,18,60,0,0,0,0,0,0,0,0,0
927,RxJava,FlowableOnErrorResumeNextViaFunctionTest,9,104,8078,185,1543,20,4151,2.690213869086196,1.149060272197019,40,1036,4,4,1,4,2,0,4,0,0
928,RxJava,MaybeOnErrorComplete,0,35,1439,12,125,12,645,5.16,2.928,29,147,1,1,0,2,1,0,0,0,0
929,RxJava,ObservableWithLatestFromMany,0,79,5023,42,693,18,2578,3.72005772005772,2.248196248196248,46,641,2,2,6,11,1,0,0,0,0
930,RxJava,CompletableObserveOn,0,34,1337,12,114,9,503,4.412280701754386,3.4210526315789473,24,139,0,0,0,2,1,0,0,0,0
931,RxJava,CompletableConcatArray,0,33,1159,11,125,11,507,4.056,2.408,29,124,0,0,0,4,0,0,0,0,0
932,RxJava,OperatorMergePerf,0,58,3094,47,525,15,1694,3.2266666666666666,1.4076190476190475,32,448,0,0,7,6,6,0,0,0,0
933,RxJava,MergeIterableTckTest,0,15,281,6,26,11,125,4.8076923076923075,2.1153846153846154,16,38,0,0,0,0,0,0,0,0,0
934,RxJava,FlowableRange,0,49,2744,18,440,13,1541,3.5022727272727274,1.8272727272727274,38,353,0,0,6,20,2,0,0,0,0
935,RxJava,CompletableAndThenObservable,0,32,1498,10,115,9,605,5.260869565217392,3.5739130434782607,30,145,0,0,0,1,1,0,0,0,0
936,RxJava,IncrementingIterable,0,14,419,1,27,7,179,6.62962962962963,4.185185185185185,22,41,0,0,0,0,0,0,0,0,0
937,RxJava,ConcatMapMaybeMainObserver,0,76,3675,45,527,16,1830,3.472485768500949,2.5332068311195446,39,465,1,1,2,16,5,0,0,0,0
938,RxJava,TakeTckTest,0,11,171,2,14,9,84,6,2.7857142857142856,15,22,0,0,0,0,0,0,0,0,0
939,RxJava,RetryTckTest,0,11,164,2,12,8,74,6.166666666666667,3.1666666666666665,14,20,0,0,0,0,0,0,0,0,0
940,RxJava,MaybeMergeWithTest,1,8,120,5,18,9,65,3.611111111111111,1.6111111111111112,10,20,0,0,0,0,0,0,0,0,0
941,RxJava,ObservableDoOnTest,5,39,1429,36,300,15,935,3.1166666666666667,0.9766666666666667,23,199,1,1,0,0,0,0,10,0,0
942,RxJava,ScalarXMapFlowable,0,31,903,9,122,15,507,4.155737704918033,1.459016393442623,35,105,2,2,0,2,1,0,0,0,0
943,RxJava,Retry,0,24,1139,7,138,17,551,3.9927536231884058,1.9492753623188406,35,137,1,1,1,1,0,0,0,0,0
944,RxJava,ParallelFromPublisher,0,97,5205,62,1074,19,3180,2.9608938547486034,1.5121042830540037,48,754,2,2,12,37,6,0,0,0,0
945,RxJava,ObservableResourceWrapperTest,3,25,868,16,170,9,435,2.5588235294117645,0.9470588235294117,15,108,0,0,0,0,0,0,3,0,0
946,RxJava,SwitchMapSingleMainObserver,0,65,3594,43,488,15,1763,3.612704918032787,2.194672131147541,37,424,1,1,3,18,2,0,0,0,0
947,RxJava,CompletableFromActionTest,7,29,1785,41,286,15,985,3.444055944055944,1.1888111888111887,21,206,0,0,0,0,0,0,7,0,0
948,RxJava,ReplayBufferTask,0,8,242,0,16,8,113,7.0625,3.4375,19,22,0,0,0,0,0,0,0,0,0
949,RxJava,FlowablePublisher,0,24,671,8,115,13,412,3.582608695652174,1.2260869565217392,29,93,0,0,1,4,1,0,0,0,0
950,RxJava,ObservableDelayTest,34,166,22918,758,4878,17,11450,2.3472734727347273,1.5129151291512914,33,3472,6,6,5,5,0,0,7,0,0
951,RxJava,DisposableLambdaObserverTest,2,31,709,13,114,16,360,3.1578947368421053,0.9473684210526315,20,77,1,0,0,0,0,0,2,0,0
952,RxJava,FlowableTakeLast,0,52,1593,20,213,17,922,4.328638497652582,2.6666666666666665,33,212,0,0,1,9,0,0,0,0,0
953,RxJava,MaybeTimeoutPublisherTest,11,66,4289,135,846,16,2120,2.5059101654846336,1.0921985815602837,28,589,1,0,2,1,1,0,24,0,0
954,RxJava,BusyObserver,0,32,1265,19,129,12,505,3.9147286821705425,1.5891472868217054,25,116,4,1,0,2,0,0,0,0,0
955,RxJava,PPF,0,6,150,0,13,7,92,7.076923076923077,2.076923076923077,14,22,0,0,0,0,0,0,0,0,0
956,RxJava,FlowableDoOnUnsubscribeTest,2,47,2736,46,526,17,1306,2.482889733840304,1.155893536121673,23,323,0,0,4,0,0,0,4,0,0
957,RxJava,FlowableFromObservableTest,2,14,295,7,34,11,132,3.8823529411764706,1.3823529411764706,14,35,0,0,0,0,0,0,0,0,0
958,RxJava,CombineLatestInnerSubscriber,0,30,884,7,92,9,412,4.478260869565218,3.739130434782609,25,109,0,0,0,1,1,0,0,0,0
959,RxJava,ObservableConcatMapMaybePerf,0,47,1459,12,187,14,726,3.8823529411764706,2.0427807486631018,30,178,0,0,0,0,0,0,0,0,0
960,RxJava,CompletableObserverImplementation,0,30,1362,26,215,11,634,2.9488372093023254,1.3069767441860465,23,168,5,5,0,3,0,0,0,0,0
961,RxJava,ComputationScheduler,0,89,4935,34,401,13,1746,4.3541147132169575,3.254364089775561,44,479,0,0,5,9,1,0,0,0,0
962,RxJava,BackpressureHelper,0,24,2987,12,267,12,814,3.048689138576779,1.5131086142322097,26,206,0,0,4,15,0,0,0,0,0
963,RxJava,MaybeNo2Dot0Since,1,42,1536,28,252,18,712,2.8253968253968256,1.007936507936508,34,185,1,0,1,7,0,0,1,0,0
964,RxJava,VolatileSizeArrayList,0,49,2411,44,280,13,1245,4.446428571428571,4.585714285714285,32,327,0,0,0,1,0,0,0,0,0
965,RxJava,SingleFlatMapIterableFlowable,0,79,3425,42,542,17,1915,3.5332103321033212,1.8892988929889298,40,442,5,5,3,19,0,0,0,0,0
966,RxJava,ZipIterableSubscriber,0,41,1404,21,209,10,763,3.650717703349282,2.339712918660287,27,193,3,3,0,5,0,0,0,0,0
967,RxJava,MergeInnerCompletableObserver,0,25,740,9,82,10,340,4.146341463414634,2.3780487804878048,21,89,0,0,0,3,2,0,0,0,0
968,RxJava,FlowableSkipTest,11,74,4057,166,846,14,1983,2.3439716312056738,1.1950354609929077,23,659,0,0,0,0,0,0,2,0,0
969,RxJava,CompletableDetachTest,7,51,1901,49,347,16,1074,3.0951008645533142,1.181556195965418,21,245,0,0,0,0,0,0,3,0,0
970,RxJava,MpscLinkedQueue,0,47,3419,28,261,12,1026,3.9310344827586206,2.3448275862068964,35,251,0,0,2,3,1,0,0,0,0
971,RxJava,MixedConverters,0,18,550,0,18,5,178,9.88888888888889,10.444444444444445,11,52,0,0,0,0,0,0,0,0,0
972,RxJava,DisposeTrackingScheduler,0,20,450,3,22,7,166,7.545454545454546,5.2727272727272725,17,41,0,0,0,0,0,0,0,0,0
973,RxJava,SwitchMapCompletableObserver,0,57,3030,42,389,15,1436,3.691516709511568,2.0745501285347046,34,346,1,1,1,18,5,0,0,0,0
974,RxJava,CompletableFromRunnable,0,21,434,8,60,11,209,3.4833333333333334,1.3166666666666667,22,50,1,1,0,2,0,0,0,0,0
975,RxJava,LongTimeAction,0,15,304,2,34,9,169,4.970588235294118,1.9705882352941178,23,34,1,1,0,1,0,0,0,0,0
976,RxJava,Observable,0,690,645086,1377,10137,14,52986,5.226990233796982,15.52510604715399,49,18616,3,4,1,54,6,0,0,0,0
977,RxJava,TimedRunnable,0,16,525,4,59,9,248,4.203389830508475,2.6440677966101696,22,72,0,0,0,1,0,0,0,0,0
978,RxJava,CompletableDoOnTest,4,57,1639,35,289,18,951,3.290657439446367,1.0726643598615917,22,195,1,0,0,0,0,0,3,0,0
979,RxJava,ExternalConsumer,0,20,421,5,44,7,212,4.818181818181818,3.409090909090909,19,60,0,0,0,0,0,0,0,0,0
980,RxJava,SingleContainstTest,2,16,363,8,64,15,251,3.921875,1.296875,17,48,0,0,0,0,0,0,0,0,0
981,RxJava,CompletableToObservable,0,33,1132,7,75,10,442,5.8933333333333335,4.8133333333333335,28,109,0,0,0,1,0,0,0,0,0
982,RxJava,SingleAmb,0,46,2043,19,308,18,1142,3.707792207792208,1.5194805194805194,42,252,1,1,2,8,3,0,0,0,0
983,RxJava,FlowableFromCallableTest,10,91,4723,102,853,21,2636,3.090269636576788,1.114888628370457,33,566,2,1,0,0,0,0,2,0,0
984,RxJava,CompletableMergeSubscriber,0,55,2748,53,371,14,1312,3.536388140161725,1.9838274932614555,26,339,0,0,0,18,11,0,0,0,0
985,RxJava,BufferExactObserver,0,37,1249,17,188,11,698,3.7127659574468086,2.2872340425531914,30,180,1,1,0,6,1,0,0,0,0
986,RxJava,FromSingleObserver,0,20,699,6,68,9,316,4.647058823529412,2.985294117647059,22,85,0,0,0,1,0,0,0,0,0
987,RxJava,Event,0,9,447,1,22,7,138,6.2727272727272725,3.6818181818181817,18,39,0,0,0,0,0,0,0,0,0
988,RxJava,ParallelMapTryConditionalSubscriber,0,44,1698,22,218,16,857,3.9311926605504586,2.4311926605504586,34,203,2,2,1,5,0,0,0,0,0
989,RxJava,SingleDoOnSuccess,0,25,818,7,71,10,423,5.957746478873239,2.943661971830986,23,95,1,1,0,0,0,0,0,0,0
990,RxJava,ObservableJoin,0,108,5825,81,859,20,2964,3.450523864959255,2.406286379511059,41,741,4,4,4,15,5,0,4,0,0
991,RxJava,ObservableSwitchMapSingleTest,24,109,11046,245,2359,22,6582,2.7901653242899536,1.1568461212378127,32,1473,4,0,4,10,1,0,19,0,0
992,RxJava,BehaviorProcessorAsPublisherTckTest,0,28,648,11,109,18,383,3.5137614678899083,0.9541284403669725,28,77,1,1,3,2,0,0,0,0,0
993,RxJava,GroupedObservable,0,13,1078,0,10,7,91,9.1,7.9,24,39,0,0,0,0,0,0,0,0,0
994,RxJava,FlowableTakeUntilTest,18,87,10364,329,1783,13,4028,2.259113853056646,1.5305664610207514,28,1353,0,0,0,0,0,0,46,0,0
995,RxJava,ReplayProcessorTest,79,251,31286,935,6148,17,14248,2.317501626545218,1.9960962914769032,43,4560,4,4,15,3,1,0,137,0,0
996,RxJava,ObservableSubscribeOnTest,6,92,3702,70,593,18,1878,3.166947723440135,1.521079258010118,38,475,2,2,1,0,0,0,1,0,0
997,RxJava,FlowableFlatMapSinglePerf,0,48,1413,12,187,14,726,3.8823529411764706,2.0427807486631018,30,178,0,0,0,0,0,0,0,0,0
998,RxJava,MergeObserver,0,114,6420,84,1400,22,4277,3.055,1.58,48,966,3,3,10,66,8,0,0,0,0
999,RxJava,SubscriberOnNext,0,10,224,1,13,7,110,8.461538461538462,5,18,26,0,0,0,0,0,0,0,0,0
1000,RxJava,ObserveOnObserver,0,69,3282,49,599,14,1830,3.055091819699499,2.0617696160267114,38,462,1,1,3,29,5,0,0,0,0
1001,RxJava,RefCountSubscriber,0,30,1066,14,105,9,477,4.542857142857143,3.3904761904761904,23,128,0,0,0,4,1,0,0,0,0
1002,RxJava,ObservableLastMaybe,0,30,1232,7,118,10,553,4.686440677966102,2.889830508474576,29,140,0,0,0,2,1,0,0,0,0
1003,RxJava,MaybeDelaySubscriptionTest,9,65,2102,58,362,16,1052,2.9060773480662982,1.212707182320442,23,283,1,0,0,0,0,0,2,0,0
1004,RxJava,BlockingFirstObserverTest,1,22,493,20,105,9,242,2.3047619047619046,1.4666666666666666,16,84,0,0,0,0,0,0,8,0,0
1005,RxJava,ObservableDoOnUnsubscribeTest,2,47,2718,46,526,17,1306,2.482889733840304,1.155893536121673,23,323,0,0,4,0,0,0,4,0,0
1006,RxJava,CompletableTakeUntilTest,10,54,3785,124,668,18,1860,2.784431137724551,1.092814371257485,19,481,4,0,0,0,0,0,22,0,0
1007,RxJava,ObservableFlatMap,0,132,8261,97,1619,23,5223,3.2260654725138975,1.7288449660284126,49,1195,3,3,10,74,10,0,0,0,0
1008,RxJava,MaybeOnSubscribe,0,7,403,0,0,6,40,0,0,13,13,0,0,0,0,0,0,0,0,0
1009,RxJava,FlowableLimitTest,12,79,2986,108,581,18,1684,2.8984509466437176,1.6712564543889845,29,505,2,0,1,0,0,0,12,0,0
1010,RxJava,TVSeason,0,2,33,0,0,3,8,0,0,4,2,0,0,0,0,0,0,0,0,0
1011,RxJava,OnErrorReturnMaybeObserver,0,30,998,11,100,11,465,4.65,2.79,26,114,1,1,0,1,0,0,0,0,0
1012,RxJava,CrashingIterator,0,12,490,0,47,9,224,4.76595744680851,2.3404255319148937,26,48,0,0,0,2,0,0,0,0,0
1013,RxJava,WithLatestFromOtherObserver,0,19,400,3,26,7,186,7.153846153846154,4.923076923076923,17,49,0,0,0,0,0,0,0,0,0
1014,RxJava,ScalarCallable,0,5,564,0,0,4,29,0,0,12,11,0,0,0,0,0,0,0,0,0
1015,RxJava,FromFutureTckTest,0,17,328,2,46,12,181,3.9347826086956523,1.608695652173913,18,37,0,0,0,0,0,0,0,0,0
1016,RxJava,IoHolder,0,4,71,0,0,6,30,0,0,7,5,0,0,0,0,0,0,0,0,0
1017,RxJava,TestSingle,0,16,331,2,19,7,186,9.789473684210526,6.2105263157894735,18,42,0,0,0,0,0,0,0,0,0
1018,RxJava,FlowableFlatMapCompletableSyncPerf,0,41,944,12,74,10,367,4.95945945945946,3.6621621621621623,29,130,0,0,0,0,0,0,0,0,0
1019,RxJava,MaybeTimeoutMaybe,0,44,3583,33,316,13,1488,4.708860759493671,3.2278481012658227,33,377,0,0,0,7,3,0,0,0,0
1020,RxJava,TimeoutOtherMaybeObserver,0,27,596,6,38,7,239,6.2894736842105265,5.131578947368421,20,63,0,0,0,0,0,0,0,0,0
1021,RxJava,StrictSubscriberTest,10,68,5256,108,1185,14,3069,2.589873417721519,1.1949367088607594,28,771,0,0,0,0,0,0,11,0,0
1022,RxJava,SwitchIfEmptyMaybeObserver,0,30,1410,13,116,13,669,5.767241379310345,3.836206896551724,27,158,0,0,0,3,0,0,0,0,0
1023,RxJava,ObservableRangeTest,12,83,2820,85,531,14,1386,2.610169491525424,1.3314500941619585,30,424,1,1,1,0,0,0,5,0,0
1024,RxJava,LeftRightSubscriber,0,30,738,7,55,7,282,5.127272727272727,4.709090909090909,20,79,0,0,0,0,0,0,0,0,0
1025,RxJava,OperatorsAreFinal,5,44,1407,35,244,18,733,3.0040983606557377,1.2049180327868851,31,207,0,0,1,7,0,0,0,0,0
1026,RxJava,FlowableInterval,0,52,1592,16,174,13,689,3.9597701149425286,2.4080459770114944,28,179,0,0,0,4,2,0,0,0,0
1027,RxJava,MaybeErrorTest,1,13,218,3,33,15,158,4.787878787878788,1.121212121212121,15,23,0,0,0,0,0,0,0,0,0
1028,RxJava,SingleZipIterable,0,44,1326,11,223,16,847,3.798206278026906,1.3183856502242153,41,181,1,1,2,5,0,0,0,0,0
1029,RxJava,OtherSingleObserver,0,18,481,3,32,7,221,6.90625,4.34375,19,55,0,0,0,0,0,0,0,0,0
1030,RxJava,CompletableCache,0,43,2341,24,353,13,1174,3.3257790368271953,1.8526912181303117,39,286,0,0,5,14,3,0,0,0,0
1031,RxJava,OnSuccess,0,8,148,1,13,7,77,5.923076923076923,3.076923076923077,16,19,0,0,0,0,0,0,0,0,0
1032,RxJava,ObservableFromIterableTest,14,104,5243,124,1096,20,3020,2.7554744525547443,1.1998175182481752,40,741,2,2,1,3,0,0,6,0,0
1033,RxJava,SampleTimedObserver,0,37,1228,15,123,9,559,4.544715447154472,4.203252032520325,27,150,0,0,0,2,0,0,0,0,0
1034,RxJava,ObservableSwitchMapSingle,0,71,4492,45,532,16,2078,3.906015037593985,2.3233082706766917,40,489,1,1,3,19,2,0,0,0,0
1035,RxJava,FallbackObserver,0,18,505,4,37,7,243,6.5675675675675675,4.351351351351352,19,61,0,0,0,0,0,0,0,0,0
1036,RxJava,FlowableDebounceTest,27,149,12124,281,2240,21,6182,2.7598214285714286,1.44375,31,1596,1,0,0,1,0,0,3,0,0
1037,RxJava,TimestampTckTest,0,12,185,2,11,8,87,7.909090909090909,3.4545454545454546,14,21,0,0,0,0,0,0,0,0,0
1038,RxJava,ObservableAnySingle,0,42,1505,15,170,10,785,4.617647058823529,2.623529411764706,27,185,1,1,0,5,0,0,0,0,0
