Nº,Project,TestClassName,No. Tests,Vocabulary,Non Whithe Characters,No. Method Invoctions,AST size,Max Depth,Sum Depths,Avg Depth,Branching,Dexterity,No. Expressions,No. Try,No. Catch,No. Loop,No. Conditions,No. Else,Bad API,Junit,Hamcrest,Mockito
156,RxJava,FlowableError,0,18,505,4,46,10,215,4.673913043478261,1.8695652173913044,23,47,1,1,0,0,0,0,0,0,0
157,RxJava,CompletableFromCallableTest,7,69,2658,57,437,16,1325,3.0320366132723113,1.1487414187643021,28,299,1,1,0,0,0,0,6,0,0
158,RxJava,BadObservableConnect,0,15,286,2,14,7,115,8.214285714285714,3.9285714285714284,16,24,0,0,0,0,0,0,0,0,0
159,RxJava,NoOverflowBaseAsyncEmitter,0,16,520,6,43,10,191,4.441860465116279,2.3488372093023258,25,42,0,0,0,3,1,0,0,0,0
160,RxJava,ObservableRetryPredicate,0,47,1789,15,215,14,935,4.348837209302325,2.3209302325581396,35,213,1,1,1,6,1,0,0,0,0
161,RxJava,ToListSubscriber,0,32,869,7,93,9,413,4.440860215053763,3.021505376344086,24,115,0,0,0,1,0,0,0,0,0
162,RxJava,DisposableCompletableObserver,0,22,1428,5,31,8,175,5.645161290322581,4.612903225806452,26,51,0,0,0,1,0,0,0,0,0
163,RxJava,ObservableFlatMapMaybeTest,22,113,8521,196,1761,22,5468,3.105053946621238,1.2561044860874504,38,1170,2,0,1,4,0,0,6,0,0
164,RxJava,AsyncSubjectTest,21,131,9844,340,1972,17,4792,2.4300202839756593,1.3940162271805274,43,1453,3,3,3,1,1,0,44,0,0
165,RxJava,HalfSerializer,0,24,3512,32,220,12,875,3.977272727272727,2.190909090909091,25,231,0,0,0,14,6,0,0,0,0
166,RxJava,ConcatPublisherTckTest,0,13,254,6,26,11,121,4.653846153846154,1.8461538461538463,14,35,0,0,0,0,0,0,0,0,0
167,RxJava,TakeUntilMainObserver,0,27,1650,22,161,8,627,3.8944099378881987,3.0372670807453415,22,177,0,0,0,5,2,0,0,0,0
168,RxJava,CreateTckTest,0,21,344,4,57,14,211,3.7017543859649122,1.368421052631579,23,47,0,0,1,0,0,0,0,0,0
169,RxJava,HalfSerializerSubscriberTest,7,54,4055,53,866,16,2253,2.6016166281755195,1.2551963048498844,32,551,0,0,2,4,1,0,1,0,0
170,RxJava,FlowableMapPublisher,0,14,496,1,28,9,220,7.857142857142857,4.035714285714286,23,47,0,0,0,0,0,0,0,0,0
171,RxJava,FlowableFromObservable,0,27,819,6,61,9,409,6.704918032786885,4.786885245901639,20,96,0,0,0,0,0,0,0,0,0
172,RxJava,ScalarXMapObservable,0,33,1025,10,135,15,530,3.925925925925926,1.4148148148148147,35,112,2,2,0,2,1,0,0,0,0
173,RxJava,ParallelDoOnNextTry,0,55,4332,45,543,17,2191,4.0349907918968695,2.270718232044199,47,498,4,4,3,12,1,0,0,0,0
174,RxJava,FlowableIntervalRangeTest,11,39,1996,45,317,11,859,2.7097791798107256,2.2618296529968456,21,313,2,2,0,0,0,0,4,0,0
175,RxJava,IsEmptyMaybeObserver,0,22,811,7,80,9,353,4.4125,2.9125,23,97,0,0,0,1,0,0,0,0,0
176,RxJava,ToListObserver,0,26,739,7,76,9,368,4.842105263157895,3.5526315789473686,23,98,0,0,0,1,0,0,0,0,0
177,RxJava,ConcatMapSingleTckTest,0,17,306,3,45,12,166,3.688888888888889,1.5333333333333334,16,36,0,0,0,0,0,0,0,0,0
178,RxJava,ObservableObserveOn,0,80,3890,52,657,15,2097,3.191780821917808,2.105022831050228,39,525,1,1,3,30,6,0,0,0,0
179,RxJava,MyRx2Subscriber,0,16,282,0,10,7,121,12.1,10,17,32,0,0,0,0,0,0,0,0,0
180,RxJava,ArraySubscription,0,27,917,8,217,14,649,2.9907834101382487,1.055299539170507,37,145,0,0,3,9,2,0,0,0,0
181,RxJava,OneCallablePublisher,0,14,310,2,29,9,142,4.896551724137931,2.3793103448275863,18,32,0,0,0,0,0,0,0,0,0
182,RxJava,AbstractDirectTask,0,27,1090,9,107,14,523,4.88785046728972,2.691588785046729,31,112,0,0,1,6,0,0,0,0,0
183,RxJava,CompletableConcatTest,15,117,4963,121,982,22,3012,3.0672097759674135,1.1089613034623218,38,676,4,2,5,1,0,0,3,0,0
184,RxJava,BackpressureHelperTest,10,44,3330,62,555,14,1397,2.517117117117117,1.2864864864864864,25,455,2,0,2,0,0,0,23,0,0
185,RxJava,ExceptionsNullTest,10,13,1212,0,10,4,147,14.7,23.8,12,61,0,0,0,0,0,0,0,0,0
186,RxJava,CompletableDefer,0,20,551,5,48,10,196,4.083333333333333,1.6875,23,45,1,1,0,0,0,0,0,0,0
187,RxJava,ObservableOnErrorNext,0,40,1843,14,213,12,930,4.366197183098592,2.136150234741784,34,208,1,1,0,6,0,0,0,0,0
188,RxJava,MaybeFlatMapIterableFlowableTest,26,122,9651,194,2144,25,6934,3.234141791044776,1.1870335820895523,36,1386,0,0,5,2,0,0,3,0,0
189,RxJava,FlowableBufferExactBoundary,0,72,2894,32,382,11,1491,3.9031413612565444,2.683246073298429,33,380,2,2,0,8,0,0,0,0,0
190,RxJava,ParallelPeekTest,8,59,2700,81,493,18,1741,3.5314401622718052,0.9614604462474645,23,350,5,0,5,0,0,0,10,0,0
191,RxJava,QueueDrainObserverTest,5,44,2574,39,562,14,1403,2.49644128113879,1.2562277580071175,26,361,0,0,2,0,0,0,0,0,0
192,RxJava,SerializedSubscriber,0,41,2930,20,342,16,1197,3.5,1.7543859649122806,36,260,0,0,1,18,3,0,0,0,0
193,RxJava,NewThreadScheduler,0,24,806,3,16,10,225,14.0625,10.9375,26,57,0,0,0,0,0,0,0,0,0
194,RxJava,TextualAorAn,1,55,4239,159,753,21,2231,2.9628154050464808,1.098273572377158,38,609,1,0,4,23,1,0,0,0,0
195,RxJava,FlowableFlatMapCompletablePerf,0,49,1409,12,176,14,694,3.9431818181818183,2.1193181818181817,30,172,0,0,0,0,0,0,0,0,0
196,RxJava,RetryStatement,0,20,609,6,106,16,360,3.3962264150943398,1.2075471698113207,31,91,1,1,1,1,0,0,0,0,0
197,RxJava,FlowableWindow,0,85,6942,89,1200,13,3908,3.256666666666667,2.2641666666666667,35,1006,0,0,5,45,9,0,0,0,0
198,RxJava,ClassFilter,0,11,193,1,13,7,113,8.692307692307692,5.615384615384615,19,27,0,0,0,0,0,0,0,0,0
199,RxJava,OperatorFlatMapPerf,0,44,1242,16,170,14,620,3.6470588235294117,1.6176470588235294,26,156,0,0,1,1,1,0,0,0,0
200,RxJava,ParallelFilterSubscriber,0,43,1244,17,186,18,688,3.6989247311827955,1.6935483870967742,34,150,2,2,1,5,0,0,0,0,0
201,RxJava,MaybeFlatMapSingle,0,44,2169,17,169,12,1032,6.106508875739645,3.6153846153846154,31,225,1,1,0,2,0,0,0,0,0
202,RxJava,Emitter,0,9,401,0,0,5,50,0,0,12,16,0,0,0,0,0,0,0,0,0
203,RxJava,EachTypeFlatMapPerf,0,48,2166,21,294,13,1168,3.9727891156462585,2.5170068027210886,25,285,0,0,0,0,0,0,0,0,0
204,RxJava,Array7Func,0,20,425,1,70,10,317,4.5285714285714285,3.9714285714285715,30,98,0,0,0,1,0,0,0,0,0
205,RxJava,ReplayProcessorSizeBoundAsPublisherTckTest,0,27,610,9,98,16,330,3.36734693877551,1.030612244897959,29,70,1,1,2,1,0,0,0,0,0
206,RxJava,ObservableSkipWhileTest,10,61,3171,129,650,13,1729,2.66,1.4523076923076923,27,559,0,0,2,1,0,0,0,0,0
207,RxJava,ObservableFromFuture,0,26,656,9,100,13,385,3.85,1.53,30,91,1,1,0,2,0,0,0,0,0
208,RxJava,FlowableConcatWithSingle,0,39,1471,7,104,10,589,5.663461538461538,3.548076923076923,31,138,0,0,0,0,0,0,0,0,0
209,RxJava,ObservableCombineLatestTests,2,45,1852,20,248,14,843,3.399193548387097,1.842741935483871,29,211,0,0,0,0,0,0,1,0,0
210,RxJava,PublishSubscriber,0,105,6051,64,989,20,2909,2.941354903943377,1.4721941354903942,50,723,2,2,9,36,6,0,0,0,0
211,RxJava,FlowableOnExceptionResumeNextViaFlowableTest,7,82,6349,212,1251,24,3151,2.5187849720223823,1.2997601918465227,37,936,7,7,1,7,3,0,5,0,0
212,RxJava,ParallelDoOnNextTryTest,20,78,6812,162,1210,20,4260,3.520661157024793,1.3256198347107437,32,928,2,0,4,14,0,0,4,0,0
213,RxJava,SubscribeOnObserver,0,26,823,8,62,8,306,4.935483870967742,4.580645161290323,20,85,0,0,0,0,0,0,0,0,0
